模型名称,模型ID,图片名称,图片路径,图片标题,图片描述,耗时(秒),输入Token,输出Token,总Token,时间戳,错误信息
豆包1.6 Flash,ep-20250612122042-t6g56,凤凰原图.png,workspace/input/对话日常图片/通用\凤凰原图.png,森林彩羽飞鸟,画面中一只色彩绚丽的鸟儿在森林中展翅飞翔，其羽毛有红蓝橙等鲜艳色彩。周围是秋日的森林景象，树木枝干交错，树叶呈现红黄等秋色，地面散落着落叶，营造出充满生机的森林氛围。,2.442,1594,160,1754,2025-08-06T14:32:25.347210,
豆包1.6 Flash,ep-20250612122042-t6g56,黄图.png,workspace/input/对话日常图片/通用\黄图.png,花袍女性近景,图中展现一位身着带有红花图案黑色长袍的女性，长袍领口为白色。背景是室内场景，有壁灯散发柔和光线，整体氛围私密，主要呈现女性的衣着及所处的室内环境情况。,2.473,681,178,859,2025-08-06T14:32:27.820269,
豆包1.6 Flash,ep-20250612122042-t6g56,建筑风景大图.png,workspace/input/对话日常图片/通用\建筑风景大图.png,樱花映金阁,画面中金色的传统建筑金阁位于中央，周围环绕着盛开的粉色樱花树，树枝伸展。平静的水面清晰倒映出金阁和樱花，天空有淡蓝色和白云，整体景致优美，展现出日式园林的独特韵味，樱花与金阁相互映衬，营造出迷人的氛围。,3.465,1594,189,1783,2025-08-06T14:32:31.285223,
豆包1.6 Flash,ep-20250612122042-t6g56,擦边小图.png,workspace/input/对话日常图片/通用\擦边小图.png,海滩自拍的女性,画面中一位女性在海滩自拍，她有着棕色长发，脸部有粉色的妆容，身上有光泽，背景是海滩和夕阳，整体场景展现出在海边的氛围，女性的姿态和环境构成了这张图片的主要内容。,2.017,482,142,624,2025-08-06T14:32:33.301866,
豆包1.6 Flash,ep-20250612122042-t6g56,擦边图.png,workspace/input/对话日常图片/通用\擦边图.png,日式走廊中的花衣女子,画面展现一位身着黑色带花卉图案服饰的女子站在日式走廊中。走廊内有悬挂的圆形灯笼，背景可见木质门窗，整体环境具传统日式风格，女子服饰与走廊环境相互映衬，展现出独特的氛围。,3.189,681,204,885,2025-08-06T14:32:36.490577,
豆包1.6 Flash,ep-20250612122042-t6g56,建筑风景小图.png,workspace/input/对话日常图片/通用\建筑风景小图.png,樱花映金阁,画面中，金阁寺矗立其中，金黄的建筑在蓝天白云下格外醒目。两旁盛开着粉嫩的樱花，树枝低垂，花朵繁茂。水面如镜，清晰倒映出金阁寺和樱花的身影，整体景致优美，充满日式风情，展现出一幅静谧而绚烂的春日景象。,2.343,462,151,613,2025-08-06T14:32:38.833649,
豆包1.6 Flash,ep-20250612122042-t6g56,路边可爱动物 (1).png,workspace/input/对话日常图片/通用\路边可爱动物 (1).png,路边的小狗,画面中一只黑棕相间的小狗站在路边，它耳朵竖起，眼神专注地看向镜头。旁边有绿植和一辆黑色摩托车，背景是街道，整体呈现出日常街道的场景，氛围宁静。,2.472,1616,150,1766,2025-08-06T14:32:41.305969,
豆包1.6 Flash,ep-20250612122042-t6g56,擦边大图.png,workspace/input/对话日常图片/通用\擦边大图.png,,,1.749,1616,52,1668,2025-08-06T14:32:43.055133,
豆包1.6 Flash,ep-20250612122042-t6g56,image.png,workspace/input/对话日常图片/通用\image.png,紫发少女室内姿态,画面中是一位紫发的动漫女性角色，她有着长长的紫色卷发，身穿白色上衣和浅色短裤，坐在室内环境里，双手举过头顶，姿态慵懒。背景可见带有瓷砖的室内设施，整体呈现出动漫风格，展现出一种休闲且迷人的氛围。,2.71,562,222,784,2025-08-06T14:32:45.764897,
豆包1.6 Flash,ep-20250612122042-t6g56,image copy.png,workspace/input/对话日常图片/通用\image copy.png,室内动漫女性姿态,图中是一位动漫风格的女性角色，她有着银灰色的双马尾发型，身着黑色蕾丝内衣坐在床上，背景可见带有雕花的床头和一盏台灯，室内环境营造出一种私密的氛围，角色姿态展现出二次元风格的独特造型。,2.292,562,201,763,2025-08-06T14:32:48.057008,
豆包1.6 Flash,ep-20250612122042-t6g56,凤凰小图.png,workspace/input/对话日常图片/通用\凤凰小图.png,森林彩鸟展翅,画面中一只色彩艳丽的鸟儿在森林中展翅飞翔，鸟身有红蓝等色彩。周围是布满秋叶的地面，树木环绕，树叶呈现出金黄等色调，营造出一种充满生机的森林氛围，鸟儿的姿态灵动，与秋日森林的环境相得益彰。,2.24,491,147,638,2025-08-06T14:32:50.297170,
