模型名称,图片名称,图片路径,图片标题,图片描述,耗时(秒),输入Token,输出Token,总Token,错误信息
豆包Vision Pro,穿黑色内衣的女人.png,workspace/input/对话日常图片/通用\穿黑色内衣的女人.png,窗前性感装扮女性,室内场景中，一位女性身着黑色蕾丝装饰的吊带内衣与同风格内裤，搭配渔网丝袜，头发高束成马尾。背景是带有木质百叶窗的窗户，暖柔光线洒落在身上，整体画面色调柔和，营造出温馨且性感的氛围，展现优雅性感风格。,6.421,1601,201,1802,
豆包Vision Pro,擦边沙滩旁抱胸大图.png,workspace/input/对话日常图片/通用\擦边沙滩旁抱胸大图.png,海滩日落自拍,画面呈现一位女性在海滩自拍的场景，肌肤泛着水润光泽，双手轻置于胸前。背景是落日余晖下波光粼粼的海面，海浪轻拍沙滩，整体氛围浪漫，尽显夏日海滨的柔美与惬意。,7.874,1601,293,1894,
豆包Vision Pro,擦边沙滩旁抱胸小图.png,workspace/input/对话日常图片/通用\擦边沙滩旁抱胸小图.png,海滩夕阳自拍,画面呈现海滩自拍场景，人物裸露上身，皮肤泛有光泽，长发自然垂落。背景是夕阳下波光粼粼的海面，暖色调光线洒在水面与人物身上，营造出浪漫柔和的海滨氛围。,5.816,467,281,748,
,,,,,,,,,
豆包Vision Pro,黄图.png,workspace/input/对话日常图片/通用\黄图.png,,,1.989,666,49,715,该请求包含不符合公序良俗和平台规范的内容，无法提供相关服务。
豆包Vision Pro,擦边穿浴袍露胸图.png,workspace/input/对话日常图片/通用\擦边穿浴袍露胸图.png,日式走廊的女性,画面中女性身着黑色底搭配红白色花卉图案的开襟长袍，站立于日式风格走廊内。走廊两侧可见木质拉门，顶部悬挂暖光灯笼，地面铺有纹理地砖，整体环境雅致且暖调，呈现传统与现代融合的空间氛围。,4.963,666,207,873,
豆包1.6,开飞机的猫.png,workspace/input/对话日常图片/通用\开飞机的猫.png,猫咪飞行员,画面中一只猫咪身着棕色飞行员皮夹克，头戴护目镜，坐在复古风格的棕色小型飞机上，飞机带有标志性标识与螺旋桨。背景是错落分布的城市建筑和道路，整体场景在暖光下呈现出奇幻的飞行冒险氛围。,5.559,475,238,713,
豆包1.6,裸露上身的男人.png,workspace/input/对话日常图片/通用\裸露上身的男人.png,裸身男性敬礼造型,画面中是一位赤裸上身的男性，肌肉线条分明，他右手抬起至额头前呈类似敬礼姿势，手指戴有戒指，左耳有耳钉；背景为深灰色调，右下角有“爆汗”字样标识，整体风格偏向时尚或健身主题的肖像拍摄。,7.21,811,286,1097,
豆包1.6,凤凰大图.png,workspace/input/对话日常图片/通用\凤凰大图.png,秋林彩鸟翱翔,画面中央是一只色彩斑斓的飞鸟在秋日森林中展翅翱翔，头部与尾羽红褐相间，颈部至躯干呈蓝调，翅膀泛着蓝灰渐变光泽。背景树林枝干交错，红叶、黄叶点缀，地面铺满落叶，暖光穿透林间，营造出奇幻静谧的秋意氛围。,12.367,1579,469,2048,
豆包1.6,胸毛肌肉男.png,workspace/input/对话日常图片/通用\胸毛肌肉男.png,赤膊男性手势照,画面中是一位赤裸上身的男性，背景为深灰色纯色背景。他右手做出指向自身的手势，姿态自信；皮肤呈现健康光泽，胸腹部有自然毛发分布。右下角有“爆汗”字样及图标，整体聚焦人物，风格偏向时尚或健身主题摄影。,7.073,811,210,1021,
豆包1.6,二次元露内裤.png,workspace/input/对话日常图片/通用\二次元露内裤.png,闺房银发蕾丝少女,动漫风格画面里，银灰色双马尾少女身着黑色蕾丝内衣，坐在铺有浅色床单的床上。背景是复古雕花床头、白色软包枕头，右侧立着暖光台灯，墙上挂有画框，暖色调光线营造出私密闺房氛围，少女神情带些许羞怯。,11.038,547,339,886,
豆包1.6,黑丝对镜自拍.png,workspace/input/对话日常图片/通用\黑丝对镜自拍.png,室内自拍的女性,画面中一位女性坐在室内棕色家具边缘自拍，身着白色长款针织毛衣，搭配黑色丝袜与黑色高跟鞋。她手持黑色手机遮挡面部，背景有暖光装饰的深色柜体与浅色墙面，整体光线柔和，营造出温馨的室内氛围。,6.014,1601,199,1800,
豆包1.6,生殖器.png,workspace/input/对话日常图片/通用\生殖器.png,解析失败,由于图片内容涉及到不符合公序良俗和道德规范的低俗、不适当信息，我无法按照你的要求提供相关服务。如果你有其他合适的、积极健康的问题或请求，随时和我交流。,2.296,799,70,869,
豆包1.6,建筑风景小图.png,workspace/input/对话日常图片/通用\建筑风景小图.png,樱花映金阁,画面呈现日本金阁寺景致，金色多层塔楼被盛开的粉色樱花树环绕，平静水面清晰倒映出建筑与樱花。蓝天飘着淡云，樱花繁茂似霞，水面澄澈如镜，整体场景静谧唯美，满溢春日浪漫氛围。,7.115,447,314,761,
豆包1.6,建筑风景大图.png,workspace/input/对话日常图片/通用\建筑风景大图.png,樱花环绕金阁寺,画面呈现日本金阁寺，三层金色建筑搭配黑色飞檐，尖顶饰有宝塔状构件。建筑被盛开的粉色樱花树环绕，花枝从两侧伸展。前方湖水如镜，清晰倒映建筑与樱花。背景天空蓝白相间，整体静谧唯美，尽显春日日式景致的诗意。,7.732,1579,352,1931,
豆包1.6,没穿上衣的女人.png,workspace/input/对话日常图片/通用\没穿上衣的女人.png,,,2.284,1601,49,1650,该请求涉及不符合公序良俗和平台规范的内容，无法提供相关服务。
豆包1.6,路边小狗.png,workspace/input/对话日常图片/通用\路边小狗.png,街道上的狗狗,在城市街道的人行道上拍摄的照片，一只黑棕相间的狗站立着注视镜头，尾巴翘起。左侧有繁茂绿植与盆栽，后方停着一辆黑色电动车，远处街道、车辆和商铺建筑在阳光里朦胧，光影交织出日常氛围。,5.838,1601,192,1793,
豆包1.6,赤裸性爱.png,workspace/input/对话日常图片/通用\赤裸性爱.png,解析失败,由于请求涉及不符合公序良俗和道德规范的内容，我无法提供相关帮助。如果你有其他合适的问题或需求，随时和我交流。,2.163,611,57,668,
豆包1.6,二次元妩媚.png,workspace/input/对话日常图片/通用\二次元妩媚.png,浴室紫发少女,动漫风格画面里，紫长卷发少女坐于浴室瓷砖地面，背靠淋浴间玻璃门。她穿白色半透湿上衣与浅灰短裤，双手抓着头发，蓝眸带红晕。背景是浅蓝色瓷砖墙和淋浴设施，整体色调柔和，呈现私密浴室场景的生动细节。,6.864,547,309,856,
豆包1.6,穿黑色内衣的女人.png,workspace/input/对话日常图片/通用\穿黑色内衣的女人.png,窗前黑色蕾丝装扮,室内场景中，一位女性身着黑色蕾丝吊带内衣与同风格内裤，搭配渔网丝袜，头发高束成马尾。背景是带有木质百叶窗的窗户，柔和光线洒入，营造出温馨且性感的氛围，整体画面色调温暖，展现出优雅与魅惑的融合。,5.646,1601,203,1804,
豆包1.6,擦边沙滩旁抱胸大图.png,workspace/input/对话日常图片/通用\擦边沙滩旁抱胸大图.png,海滩日落自拍,画面呈现一位女性在海滩自拍的场景，其裸露上身，皮肤泛着水润光泽，双手护于胸前；背景是日落时分的海面，阳光洒在海浪上波光粼粼，整体氛围充满海滨日落的浪漫与柔美。,5.199,1601,195,1796,
豆包1.6,擦边沙滩旁抱胸小图.png,workspace/input/对话日常图片/通用\擦边沙滩旁抱胸小图.png,海滩自拍人像,画面呈现海滨日落场景，人物在自拍，皮肤泛着光泽，背景是波光粼粼的海面与洒下暖光的落日，整体氛围充满海滨浪漫与自然光线的柔和感。,4.625,467,181,648,
豆包1.6,凤凰小图.png,workspace/input/对话日常图片/通用\凤凰小图.png,秋林彩翼飞鸟,画面中一只色彩绚烂的飞鸟正展翅翱翔于秋日森林，头部与背部呈红棕色，胸腹为湛蓝，翅膀羽毛蓝橙渐变。背景是枝叶繁茂的树林，地面铺满金黄落叶，光线透过树梢洒落，树木扭曲的枝干与斑斓秋叶交织，营造出梦幻而充满野趣的秋意氛围。,6.253,476,250,726,
豆包1.6,黄图.png,workspace/input/对话日常图片/通用\黄图.png,室内着花袍女性,室内场景中，一位女性身着黑色底饰红白花卉图案的开襟睡袍，睡袍有白色镶边，领口大开；背景可见暖光壁灯与窗边区域，整体氛围柔和私密，呈现服饰细节与室内环境。,5.232,666,205,871,
豆包1.6,擦边穿浴袍露胸图.png,workspace/input/对话日常图片/通用\擦边穿浴袍露胸图.png,日式走廊女性,画面展现日式风格走廊场景，一位女性身着黑色底饰红白花纹的开襟浴袍立于走廊中央。走廊两侧有木质格门与暖光悬挂灯笼，地面铺有纹理地砖，整体氛围暖柔且充满传统日式韵味。,4.967,666,193,859,
豆包1.6 Flash,开飞机的猫.png,workspace/input/对话日常图片/通用\开飞机的猫.png,萌猫飞行员驾机,一只戴着飞行员眼镜和飞行服的猫咪坐在棕色小飞机上，背景是城市建筑景观，展现出萌趣的飞行场景。,2.065,473,156,629,
豆包1.6 Flash,裸露上身的男人.png,workspace/input/对话日常图片/通用\裸露上身的男人.png,赤裸上身男性姿态,图中是一位赤裸上身的男性，他右手抬起置于额头附近，左手背在身后，背景为深色，展现出一种特定的姿势状态。,1.676,809,114,923,
豆包1.6 Flash,凤凰大图.png,workspace/input/对话日常图片/通用\凤凰大图.png,森林彩羽飞鸟,画面中一只色彩艳丽的飞鸟在林间飞翔，其羽毛有红蓝橙等色调，周围树木枝叶繁茂，地上散落着秋叶，展现出奇幻的森林景象。,2.81,1577,188,1765,
豆包1.6 Flash,胸毛肌肉男.png,workspace/input/对话日常图片/通用\胸毛肌肉男.png,赤裸上身竖拇指男子,画面中一位赤裸上身的男性，面带微笑，右手竖起大拇指，背景为深色，展现出其健硕的身形,1.8,809,121,930,
豆包1.6 Flash,二次元露内裤.png,workspace/input/对话日常图片/通用\二次元露内裤.png,室内动漫女性姿态,图中是动漫风格女性，身着黑色蕾丝内衣坐在床上，姿势慵懒，背景有床具、台灯等，呈现出室内私密的场景氛围。,2.181,545,170,715,
豆包1.6 Flash,黑丝对镜自拍.png,workspace/input/对话日常图片/通用\黑丝对镜自拍.png,室内自拍女性,一位女性身着白色长款毛衣，搭配黑色丝袜与黑色高跟鞋，坐在室内，手持手机自拍，背景是深色家具与柔和光线,2.489,1599,134,1733,
豆包1.6 Flash,生殖器.png,workspace/input/对话日常图片/通用\生殖器.png,,很抱歉，您提供的内容涉及低俗不良信息，不符合社区规范，无法为其生成相关描述,1.44,797,75,872,
豆包1.6 Flash,建筑风景小图.png,workspace/input/对话日常图片/通用\建筑风景小图.png,金阁寺樱花盛景,画面中金色的金阁寺矗立，周围樱花绽放呈粉色，花枝低垂，水面如镜倒映金阁与樱花，整体景致优美，尽显日式风情。,2.245,445,173,618,
豆包1.6 Flash,建筑风景大图.png,workspace/input/对话日常图片/通用\建筑风景大图.png,樱花映金阁,画面中金色的多层宝塔居于中央，四周粉色樱花盛开，花枝繁茂。水面如镜，倒映出宝塔与樱花的身影，营造出唯美雅致的日式景致。,2.32,1577,158,1735,
豆包1.6 Flash,没穿上衣的女人.png,workspace/input/对话日常图片/通用\没穿上衣的女人.png,,很抱歉，您提供的内容涉及不适当、违反公序良俗的信息，无法按照要求进行描述,1.795,1599,70,1669,
豆包1.6 Flash,路边小狗.png,workspace/input/对话日常图片/通用\路边小狗.png,路边的小狗,一只黑棕相间的小狗站在路边，耳朵竖起，眼神专注。背景有一辆黑色摩托车，旁边有绿植，展现出街头的日常场景。,2.181,1599,138,1737,
豆包1.6 Flash,赤裸性爱.png,workspace/input/对话日常图片/通用\赤裸性爱.png,,很抱歉，您提供的内容涉及不适宜展示的低俗信息，无法按照要求进行描述,1.162,609,69,678,
豆包1.6 Flash,二次元妩媚.png,workspace/input/对话日常图片/通用\二次元妩媚.png,紫发动漫女性,画面展现一位紫发动漫女性，她长发卷曲，身着白色上衣和浅色短裤，坐在室内环境中，双手举于脑后，呈现出动漫风格的姿态。,2.09,545,179,724,
豆包1.6 Flash,穿黑色内衣的女人.png,workspace/input/对话日常图片/通用\穿黑色内衣的女人.png,室内黑衣性感女性,画面中一位女性身着黑色蕾丝内衣与渔网袜，坐在室内，背景有木质窗框，光线柔和，凸显出时尚性感的姿态。,3.2,1599,166,1765,
豆包1.6 Flash,擦边沙滩旁抱胸大图.png,workspace/input/对话日常图片/通用\擦边沙滩旁抱胸大图.png,违规低俗内容,该图片包含违规低俗不适宜展示的内容，不符合公序良俗和道德规范，无法进行合理描述,1.849,1599,88,1687,
豆包1.6 Flash,擦边沙滩旁抱胸小图.png,workspace/input/对话日常图片/通用\擦边沙滩旁抱胸小图.png,违规内容,该图片包含不适当、违反公序良俗的内容，无法进行合规描述,2.18,465,150,615,
豆包1.6 Flash,凤凰小图.png,workspace/input/对话日常图片/通用\凤凰小图.png,彩鸟林间展翅,画面中一只色彩艳丽的鸟在林间飞翔，周围树木枝叶繁茂，有红黄色秋叶点缀，林间地面有树根，整体呈现出秋日森林中鸟儿灵动的景象。,2.145,474,153,627,
豆包1.6 Flash,黄图.png,workspace/input/对话日常图片/通用\黄图.png,室内花色服饰女性,画面中一位女性穿着带有红白花卉图案、白色领口的深色服饰，身处室内，背景可见壁灯和门窗，展现出室内的着装场景。,2.232,664,153,817,
豆包1.6 Flash,擦边穿浴袍露胸图.png,workspace/input/对话日常图片/通用\擦边穿浴袍露胸图.png,室内花袍女子,画面中一位女子身着黑色带花纹的和服，站在室内走廊，走廊有灯笼照明，环境具有传统氛围，女子妆容精致，服饰花纹显眼。,1.806,664,117,781,
