类别,条目,内容,关键词,备注
喜好厌恶,最喜欢的事物,,,记录最令人心动的事物，可以是具体物品、活动、人物或抽象概念，描述为什么喜欢及其带来的情感价值
喜好厌恶,最讨厌的事物,,,记录最令人反感的事物，可能是某种行为、现象或观念，描述厌恶的原因和情感反应
喜好厌恶,最爱的游戏,,,记录最喜爱的游戏作品，说明吸引之处和情感连结，比如为什么能多次重玩、最难忘的游戏时刻等
喜好厌恶,最爱的电影,,,记录最珍爱的电影作品，描述其特殊意义和情感价值，比如某个镜头、台词或情节的特殊意义
喜好厌恶,最爱的电视剧,,,记录最心仪的剧集作品，说明为什么特别喜爱和情感认同，比如某个角色、剧情或价值观的共鸣
喜好厌恶,最爱的书,,,记录最珍视的书籍作品，描述其对人生的影响和意义，比如某个观点、片段或人物的特殊影响
喜好厌恶,最爱的音乐,,,最爱听的音乐作品，描述其特殊意义和情感价值，比如某个片段、主题或特殊风格
喜好厌恶,最爱的剧情,,,记录最喜爱的剧情类型（题材/风格/结构），说明吸引之处和情感价值
喜好厌恶,最爱的导演,,,记录最喜爱的导演，描述其作品风格、经典作品与个人情感认同
喜好厌恶,最爱的演员,,,记录最喜爱的演员，说明其表演魅力、代表角色、情感共鸣
喜好厌恶,最爱的作家,,,记录最喜爱的作家/作者，描述其作品风格与个人影响
喜好厌恶,最爱的歌手/乐队,,,记录最喜爱的歌手或乐队，说明其音乐风格与情感价值
喜好厌恶,最爱的地方,,,记录最有归属感的地方，可能是故乡、某个城市或特定场所，说明其特殊意义和情感价值
喜好厌恶,一般喜好,,,记录日常喜欢的事物，不一定是最爱的但会经常接触或选择的，比如某种类型的音乐、色彩、气味等
喜好厌恶,一般厌恶,,,记录日常不喜欢的事物，可能不至于讨厌但会尽量避免的，比如某种食物、天气、声音等
喜好厌恶,恐惧对象,,,记录令人感到恐惧或焦虑的事物，可能是具体物体、情境或抽象概念，包括恐惧的程度和影响
个人物品,重要物品,,,个人物品、纪念品、珍藏品、日常用品、物品意义
个人物品,工作用品,,,工作工具、专业设备、办公用品、设备依赖
个人物品,生活用品,,,日常用品、家居用品、个人用品、娱乐用具、生活设备
成长经历,出生背景,,,出生时间、地点、家庭状况、社会背景、时代特征
成长经历,幼年时期,,,0-6岁的生活环境、照顾者、重要事件、性格萌芽、早期记忆
成长经历,小学阶段,,,就读学校、居住地点、重要同学朋友、老师、学习表现、兴趣发展、家庭变化
成长经历,初中阶段,,,就读学校、居住地点、青春期变化、重要同学朋友、老师、学习表现、兴趣发展、家庭变化
成长经历,高中阶段,,,就读学校、居住地点、重要同学朋友、老师、学习表现、兴趣发展、家庭变化
成长经历,大学阶段,,,就读院校、专业、居住地点、重要同学朋友、老师、学习表现、社团活动、实习经历
成长经历,研究生阶段,,,就读院校、专业、导师、研究方向、居住地点、重要同学朋友、学术成果、实习经历
成长经历,初入社会,,,第一份工作、工作地点、同事关系
成长经历,职业发展,,,工作轨迹、职位变化、工作地点、重要项目、职场人际、技能提升、收入变化
成长经历,关键事件,,,对人生产生重大影响的具体事件、时间地点、相关人物、事件过程、心理变化、长远影响
成长经历,人生导师,,,对成长产生重要影响的导师、老师、长辈的具体信息、相识过程、指导内容、影响方式
成长经历,挫折经历,,,重要的失败、挫折、困难经历，时间地点、具体情况、应对方式、学到的教训、性格影响
家庭情况,家庭信息,,,家族背景、家庭关系、家庭氛围、重要事件、家庭结构、家庭特色
家庭情况,家庭成员,,,父亲、母亲、兄弟姐妹、配偶、子女的具体信息（外貌、职业、年龄、收入、性格、爱好），成员需新建行数填写
家庭情况,家庭经济状况,,,家庭整体经济水平、经济压力、收入来源分布、经济决策权、经济规划
家庭情况,家庭习俗,,,家庭传统、节日习俗、仪式活动、文化传承、祖传规矩、世代传承的习惯
家庭情况,家庭教育方式,,,家庭教育理念、教育方法、管教方式、学习环境、教育投入
家庭情况,家庭居住环境,,,家庭住房条件、居住空间、环境氛围、居住历史、住房变迁
家庭情况,家庭社会地位,,,家庭声誉、社会认可、社会影响力、社会关系网络、地位象征
家庭情况,家庭价值观念,,,家庭价值观、文化观念、信仰体系、道德标准、精神追求
家庭情况,家庭沟通模式,,,沟通方式、交流频率、沟通障碍
家庭情况,家庭角色分工,,,责任分配、权力结构、地位差异、角色冲突
家庭情况,家庭情感表达方式,,,情感表达方式、亲密程度、情感纽带
社交关系,朋友,,,具体外貌、姓名、职业、相识经过、交往频率、交往地点、交往内容
社交关系,恋人（保持通用性，主角不填）,,,历届恋人的具体外貌、姓名、职业、相识经过、交往频率、交往地点、交往内容
社交关系,同事,,,具体外貌、姓名、职业、相识经过、交往频率、交往地点、交往内容
社交关系,师生,,,具体外貌、姓名、职业、相识经过、交往频率、交往地点、交往内容
社交关系,竞争对手,,,具体外貌、姓名、职业、相识经过、交往频率、交往地点、交往内容
社交关系,社交圈子,,,具体外貌、姓名、职业、相识经过、交往频率、交往地点、交往内容
社交关系,邻居,,,具体外貌、姓名、职业、相识经过、交往频率、交往地点、交往内容
社交关系,网友,,,具体社交形象（头像/简介）、来源平台、姓名、职业、相识经过、交往频率、交往地点、交往内容
社交关系,其他,,,具体外貌、姓名、职业、相识经过、交往频率、交往地点、交往内容
行为偏好,衣着偏好,,,服装风格、品牌偏好、穿衣习惯、颜色偏好、特定喜爱的服装类型
行为偏好,饮食偏好,,,餐饮口味、菜系偏好、就餐习惯、特定喜爱的食物、其它饮食习惯
行为偏好,居住偏好,,,居住环境要求、家居风格、整理习惯、特定喜爱的居住类型、其它居住偏好
行为偏好,出行偏好,,,交通方式选择、旅行习惯、目的地偏好、出行频率、其它出行习惯
行为偏好,工作偏好,,,工作环境要求、工作方式偏好、合作风格、时间安排偏好、其它工作习惯
行为偏好,娱乐偏好,,,娱乐活动选择、比如电影电视类型偏好、场所偏好、参与方式、特定喜爱的娱乐类型、其它娱乐习惯
行为偏好,消费偏好,,,消费习惯、购物偏好、品牌倾向、价格敏感度、其它消费行为
行为偏好,休闲偏好,,,休闲活动选择、比如阅读风格、放松方式、休闲时间安排、特定喜爱的休闲类型、其它休闲习惯
行为偏好,观影偏好,,,电影类型偏好、观影场合、观影频率、观影方式、剧情/导演/演员偏好
行为偏好,追剧偏好,,,电视剧类型偏好、追剧方式、追剧频率、剧集长度偏好、剧情/演员偏好
行为偏好,阅读偏好,,,阅读类型偏好、阅读介质、阅读时段、阅读频率、阅读深度
行为偏好,音乐偏好,,,音乐类型偏好、听歌场合、听歌频率、歌手/乐队偏好、音乐风格
行为偏好,付款习惯,,,付款支付工具使用、信用卡/现金/支付宝/微信/银联云闪付
健康状况,身体健康,,,整体健康状态、体能水平、生理指标、健康习惯、健康问题
健康状况,疾病历史,,,曾经患病、慢性疾病、家族病史、手术经历、疾病影响
健康状况,用药情况,,,常用药物、用药历史、药物过敏、保健品、用药习惯
健康状况,心理健康,,,心理状态、情绪管理、心理问题、心理治疗、心理支持
健康状况,健康管理,,,体检习惯、健康监测、医疗保险、健康规划、健康投入
心理状态,心理健康状况,,,整体心理健康水平
心理状态,情绪稳定性,,,情绪控制能力、情绪波动程度、情绪稳定程度、情绪调节能力
心理状态,自信程度,,,自我评价、自信水平、自我认知、自我接纳程度、自我价值感
心理状态,焦虑水平,,,焦虑程度、焦虑源、焦虑表现
心理状态,抑郁倾向,,,是否有抑郁倾向，抑郁程度、抑郁表现、抑郁原因、抑郁应对、抑郁影响
心理状态,压力应对策略,,,压力应对方式
心理状态,心理创伤,,,创伤经历、创伤影响、创伤恢复
心理状态,心理支持系统,,,心理支持来源
技能能力,专业技能,,,专业技能、技能水平、认证资质、技能经验、技能发展
技能能力,创造能力,,,创新思维、创作才能、艺术天赋、
技能能力,特殊技能,,,稀有技能、特殊才能、高级技能、特殊认证、独特能力
语言能力,母语能力,,,母语水平、方言能力、口音特点、表达习惯、语言风格
语言能力,外语能力,,,外语语种、熟练程度、语言认证、使用场景、学习经历
语言能力,沟通风格,,,表达方式、说话习惯、倾听能力、交流偏好、沟通特点
数字足迹,上网习惯,,,上网时间安排、上网频率、上网时长、上网地点、上网设备详细信息
数字足迹,网络依赖,,,网络依赖程度、断网反应、网络成瘾、网络控制能力、网络健康详细信息
数字足迹,网络活动,,,主要网络活动类型、网络娱乐、网络学习、网络购物、网络工作详细信息
数字足迹,网络技能,,,网络技术水平、网络学习能力、网络工具使用、网络素养详细信息
数字足迹,社交平台,,,使用的社交平台类型、平台使用频率、平台偏好、平台功能使用
数字足迹,微信,,,微信头像、昵称、号码、微信使用频率、朋友圈发布习惯、微信群参与度、微信支付使用、表情包使用偏好、关注的公众号订阅号类型、聊天风格特点
数字足迹,游戏习惯,,,游戏类型偏好、游戏昵称、游戏时间分配、游戏充值态度、游戏社交参与、游戏技能水平、游戏设备偏好
数字足迹,小红书,,,小红书使用频率、头像、昵称、内容浏览偏好、笔记发布习惯、购物参考程度、博主关注类型、互动参与方式
数字足迹,微博,,,微博使用频率、头像、昵称、内容发布习惯、热点关注度、转发评论习惯、关注博主类型、微博风格定位
数字足迹,B站,,,B站使用频率、头像、昵称、视频类型偏好、弹幕参与习惯、投币充电态度、UP主关注类型、会员服务使用
数字足迹,抖音,,,抖音使用频率、头像、昵称、视频内容偏好、发布作品习惯、直播观看参与、购物功能使用、社交互动方式
数字足迹,知乎,,,知乎使用频率、头像、昵称、内容阅读偏好、回答参与度、知识领域关注、专业分享意愿、讨论互动风格
数字足迹,网络形象,,,网络人设塑造、头像选择风格、主页背景设计、个人简介内容、网络形象管理方式、网络形象风格定位
数字足迹,线上社交,,,线上社交习惯、表情包使用习惯、线上朋友圈、线上交流方式
数字足迹,内容创作,,,内容创作类型、创作频率、创作平台、创作风格、创作收益
数字足迹,网络影响力,,,网络影响力范围、粉丝数量、互动率、网络声誉、网络影响力管理详细信息
数字足迹,数字消费,,,数字消费习惯、数字消费金额、数字消费类型、数字消费渠道、数字消费管理
数字足迹,网络账号,,,网络账号密码命名规则、密码强度、账号保护密码
数字足迹,淘宝,,,淘宝使用频率、是否88vip、购物类型偏好、商家选择标准、评价习惯、收藏关注行为、会员服务使用
数字足迹,京东,,,京东使用频率、是否会员、商品选择偏好、物流服务要求、购物决策模式、售后服务参与
数字足迹,拼多多,,,拼多多使用频率、团购参与度、价格敏感度、社交分享行为、游戏功能参与、直播购物参与（不用就说不用，必需要填）
数字足迹,信息安全,,,隐私保护、数字素养、安全意识
生活节奏,日常作息,,,起床睡觉时间、三餐时间、、娱乐或工作时间、运动时间、晚间活动具体时间安排
生活节奏,工作节奏,,,工作时间安排、工作强度、工作频率、工作休息、加班习惯
生活节奏,休息节奏,,,休息时间分配、休息方式、休息质量、休息习惯、休息规则
生活节奏,学习节奏,,,学习时间安排、学习习惯、学习计划、学习方式、学习目标
生活节奏,社交节奏,,,社交时间安排、社交频率、社交场合、社交方式、社交需求
生活节奏,运动节奏,,,运动时间安排、运动频率、运动强度、运动类型、运动计划
生活节奏,季节节奏,,,季节变化影响、季节调整、季节习惯、季节活动
生活节奏,娱乐休闲节奏,,,娱乐活动时间安排、娱乐频率、娱乐强度、休闲时间分配、娱乐休闲平衡详细信息
财务状况,主要收入来源,,,工资、奖金、投资收益、副业收入具体来源和金额
财务状况,房产信息,,,地址、面积、价值、购买时间、贷款情况
财务状况,车辆信息,,,品牌、型号、颜色、车牌、购买时间、价值
财务状况,银行卡信息,,,银行账户、存款金额、定期存款
财务状况,信用卡信息,,,信用卡数量、额度、使用情况、还款记录
财务状况,负债情况,,,房贷、车贷、信用卡债务、其他借款
财务状况,投资理财,,,股票、基金、理财产品、保险投资情况
财务状况,资产比例,,,固定资产、流动资产、负债的具体比例和分布
观点立场,亲情观念,,,对亲情关系的看法和态度、家庭责任意识、亲情价值观、家庭优先程度、亲情表达方式
观点立场,友情观念,,,对友情关系的看法和态度、友情价值观、朋友选择标准、友情维护方式、友情界限
观点立场,恋爱观念,,,对恋爱关系的看法和态度、恋爱价值观、择偶标准、恋爱方式、恋爱期望
观点立场,婚姻观念,,,对婚姻制度的看法和态度、婚姻价值观、婚姻期望、婚姻责任、婚姻模式
观点立场,道德观念,,,道德标准、是非判断、道德底线、道德行为、道德责任感
观点立场,工作观念,,,对工作的看法和态度、工作价值观、职业理想、工作生活平衡、工作意义
观点立场,消费观念,,,消费价值观、消费习惯、消费观念、理财观念、物质追求
观点立场,教育观念,,,对教育的看法和态度、教育价值观、学习观念、教育方式、教育投资
观点立场,社会观念,,,对社会现象的看法和态度、社会责任感、社会参与度、社会价值观、社会期望
观点立场,政治立场,,,政治倾向、政治参与、政治观点、政治价值观、政治态度
观点立场,宗教信仰,,,宗教信仰状况、宗教价值观、宗教实践、宗教参与、精神寄托
观点立场,人生哲学,,,人生观、世界观、价值观、人生意义、人生目标、人生态度
观点立场,学习观念,,,学习方式偏好、学习动机来源、知识获取途径、自我提升态度
观点立场,规划观念,,,时间管理方式、计划制定习惯、目标设定方法、风险评估的态度、未来规划理念
观点立场,沟通观念,,,表达方式偏好、倾听态度、冲突处理方式、信息传递方式、人际交流理念
观点立场,决策观念,,,决策制定方式、风险承担态度、信息权衡方法、直觉与理性平衡、责任承担理念
观点立场,创新观念,,,创新思维方式、新事物接受度、传统与变革平衡、创造性表达、突破性思维
观点立场,审美观念,,,美的定义标准、艺术欣赏偏好、审美判断原则、美学价值观
观点立场,技术观念,,,新技术接受度、科技依赖程度、技术伦理观念、技术发展态度
观点立场,时间观念,,,时间价值认知、效率追求程度、时间分配原则、节奏控制方式、时间管理哲学
观点立场,领导观念,,,领导风格偏好、权威认知方式、团队管理理念、决策制定方法、责任分担态度
观点立场,健康观念,,,健康管理方式、身心平衡理念、疾病预防态度、医疗信任度、生活方式选择
观点立场,传统观念,,,对传统文化的态度、历史传承观念、现代化适应性、文化变迁接受度
观点立场,文化观念,,,文化认同程度、多元文化态度、文化差异接受度、文化传播理念、文化价值判断
观点立场,竞争观念,,,竞争参与态度、成功定义标准、失败接受程度、合作竞争平衡、成就动机来源
观点立场,隐私观念,,,个人边界设定、信息分享原则、隐私保护意识、公私分明程度、透明度接受度
法律状况,违法记录,,,违法经历、法律后果、违法影响、改正情况、法律意识
法律状况,法律纠纷,,,民事纠纷、商业纠纷、法律诉讼、纠纷解决、法律影响
法律状况,合规状态,,,合规意识、法律遵守、合规风险、合规管理、法律学习
法律状况,法律关系,,,律师关系、法律服务、法律咨询、法律支持、法律资源
法律状况,法律观念,,,法律价值观
梦想与目标,短期目标,,,1-3个月的目标、即时任务、近期计划、短期成果、快速实现的愿望
梦想与目标,中期目标,,,1-5年的目标、阶段性成果、中期规划、重要里程碑、能力提升目标
梦想与目标,长期目标,,,5-20年的目标、人生大目标、终极愿景、人生成就、传承目标
梦想与目标,人生使命,,,人生意义、存在价值、使命感、人生召唤、精神追求、价值实现
梦想与目标,职业理想,,,理想职业、职业规划、专业发展、职业成就、工作意义、职业价值
梦想与目标,个人追求,,,个人兴趣发展、自我实现、个人成长、生活品质、个人特色、个性化目标
梦想与目标,社会责任,,,社会贡献、公益事业、社会使命、回馈社会、社会正义、传承文化
梦想与目标,动力来源,,,内在动机、外在动力、激励因素、动力持续性、能量源泉、动力补充
梦想与目标,最大心愿,,,最渴望实现的愿望、最深层的心愿、一生所求、最终梦想、终极愿望
梦想与目标,底线原则,,,道德底线、不可违背的原则、价值观限制、行为准则、伦理标准
梦想与目标,失败容忍度,,,对失败的接受程度、失败应对方式、挫折承受力、重新出发能力
