序号ID,图片名称,图片路径,图片标题,图片描述,关键词,故事内容
992040022,黑白狗.png,workspace/input/方知衡/动物\黑白狗.png,草地微笑犬,在阳光明媚的户外草地场景中，一只黑白相间的犬趴在地上，毛发蓬松，脸部黑白分明，蓝眼睛明亮有神，嘴巴张开吐着粉色舌头，神态轻松愉悦。周围是繁茂的嫩绿色草叶、大片三叶草与星星点点的白色小花，背景是朦胧的绿意山丘，光线柔和明亮，整个画面洋溢着清新自然的生机与惬意氛围，狗狗佩戴的项圈也增添了生活气息。,草地 犬 草叶 三叶草 白色小花 山丘 项圈,方知衡在户外草地散步，被眼前清新的景色吸引。这时，一只黑白相间的犬闯入视野，它惬意地趴在地上，吐着舌头。方知衡正想靠近，狗狗突然起身跑开。他有些失落，可没走几步，狗狗又跑回来，围着他欢快打转。方知衡蹲下摸摸它，狗狗便乖乖趴下，享受着抚摸，一人一犬在这美景中构成温馨画面。
992050004,写教案.png,workspace/input/方知衡/在干嘛\写教案.png,温馨办公桌面,室内办公场景中，浅木色桌面中央摆放着打开的银色笔记本电脑，屏幕显示文档类界面；右侧白色台灯亮着暖光，照亮桌面区域。前方翻开的笔记本写满红色手写笔记，周围散落黄色便签纸。左侧有红蓝黑三支笔，右侧白色笔筒插着剪刀、彩铅，旁置黑色鼠标。左上角木质书架陈列着书籍与绿植，暖光氛围让空间显温馨专注，传递出有序的工作气息。,电脑 笔记本 便签纸 笔 书架 绿植,方知衡正对着电脑文档蹙眉思考，突然电脑死机了。他心急如焚，那些还未保存的数据可能付诸东流。他赶紧用笔在笔记本上记录可能的解决办法，翻找着便签纸上记的技术支持电话。就在他焦头烂额时，尝试重启后电脑竟恢复正常，他松了口气，又投入到专注的工作中。
992050005,办公.png,workspace/input/方知衡/在干嘛\办公.png,咖啡馆办公场景,画面呈现现代咖啡馆内的办公场景。浅色木质桌上，一台银色笔记本电脑显示着外文文档，左手轻触触控板，右侧连接白色鼠标。左侧放着带黑色杯套、插吸管的冰饮。背景是落地玻璃窗，窗外街道、车辆与绿植可见，室内错落摆着桌椅和绿植，暖光营造出舒适明亮的办公氛围，展现惬意的工作或学习环境。,咖啡馆 笔记本电脑 冰饮 桌椅 绿植,方知衡在咖啡馆靠窗的位置办公，浅色木质桌上，银色笔记本电脑显示着外文文档。他正专注研究，突然一个冒失的年轻人撞到桌子，冰饮洒到电脑上。方知衡眉头一皱，年轻人惊慌道歉。他深吸一口气，冷静地处理电脑，所幸无大碍。年轻人松了口气，方知衡只是淡淡说：‘以后小心点。’便又投入工作。
992050006,看书.png,workspace/input/方知衡/在干嘛\看书.png,阅读时光一角,画面呈现温馨的阅读场景，浅棕色木质桌面上，左侧堆叠三本风格各异的书（最上方紫色封面书有金色文字）；前方一本打开的书夹着金属雕花书签，书页印着文字；右侧木碟托着一杯分层咖啡（表面泡沫细腻），旁放一支白黑配色钢笔。背景是浅色墙面与木质家具，暖光让整个场景充满静谧舒适的阅读氛围，细节处尽显生活质感。,书 咖啡 钢笔 书签 木质桌面,方知衡正沉浸在眼前打开的书中，桌上分层咖啡散发着香气。突然，朋友打来电话邀他参加热闹聚会。他本想拒绝，可朋友说有重要学术交流。方知衡犹豫，看着温馨的阅读一角，最终还是拒绝：‘我更享受此刻阅读。’挂了电话，他又投入书中，暖光洒在书页上。
992060011,办公.png,workspace/input/方知衡/工作\办公.png,阳光办公空间,这是一间充满自然光线的室内办公区，大面积窗户引入晨光，窗外绿树成荫。浅木色书桌上摆放着笔记本电脑、咖啡杯、线圈本与书籍；旁侧是棕褐色皮质办公椅。左侧墙面有置物架，陈列书籍、绿植与黑色台灯；窗台整齐码放书本，角落置小型盆栽。右侧大型绿植与棕色背包增添生活气息，木质地板上光影交错，整体氛围温馨舒适，尽显静谧的办公时光。,办公区 笔记本电脑 咖啡杯 线圈本 书籍 绿植 棕色背包,方知衡坐在棕褐色皮质办公椅上，正对着电脑钻研课题。突然，一阵急促电话打破静谧，同事告知数据出错。他眉头紧锁，迅速检查桌上线圈本和电脑资料。就在着急时，发现是对方计算失误。他松口气，喝口咖啡，又沉浸在研究中，窗外绿树的光影洒在木质地板上。
992060012,天文台.png,workspace/input/方知衡/工作\天文台.png,山顶白色天文台,画面呈现一座位于山顶的白色天文台建筑，圆顶造型搭配环绕的金属楼梯与开阔平台。建筑立于平整的浅色石质平台上，背景是晴朗蓝天与蓬松白云，远处连绵青山覆盖翠绿植被，层次分明。阳光明亮，给建筑与山峦镀上清晰光影，整体氛围静谧，展现科技设施与自然山水的和谐融合。,天文台 金属楼梯 平台 青山 小鸟,方知衡来到山顶的白色天文台，正准备开始观测。突然，一名学生慌张跑来，说仪器似乎出了故障。方知衡冷静检查，发现只是小问题，轻松解决。之后他走上金属楼梯，站在开阔平台上，望着远处青山，心中感慨科技与自然的和谐。这时，一只小鸟落在栏杆上，他温柔看着，享受这份宁静。
992060013,天文观测.png,workspace/input/方知衡/工作\天文观测.png,太空观测控制台,画面呈现太空观测场景，舱室内工作台中央架着黑色天文望远镜，由白色三脚架支撑。旁侧两台显示器显示蓝色数据图表（含彩色曲线、坐标网格），搭配键盘与控制台按钮。窗外可见巨大黄色星球与繁星点缀的深空，舱室以暗色调为主，顶部长条灯光照亮设备，整体氛围充满科技感与宇宙探索的神秘气息。,舱室 天文望远镜 三脚架 显示器 键盘 控制台按钮 黄色星球 深空,方知衡在舱室内专注观测，眼睛紧贴黑色天文望远镜。突然，显示器数据异常波动，曲线剧烈起伏。他眉头紧锁，迅速敲击键盘查看。这时，同事慌张跑来：‘这数据太奇怪了！’方知衡冷静分析，很快发现是设备短暂故障。虚惊一场后，他又继续通过望远镜凝望窗外巨大黄色星球和深空繁星。
992060014,工作.png,workspace/input/方知衡/工作\工作.png,阳光办公桌面,阳光透过窗户洒在浅木色办公桌上，桌上有序摆放着银色笔记本电脑、黑色显示器、键盘与鼠标，显示器和桌面贴有彩色便签。周围有卡通玩偶、迷你绿植点缀，墙面悬浮木架上陈列书籍与装饰，角落绿植增添生机，浅灰办公椅置于桌前，暖光让整个空间温馨且充满工作氛围。,办公桌 笔记本电脑 显示器 卡通玩偶 书籍,方知衡正对着电脑专注工作，突然，一阵急促的电话铃声打破了安静。原来是助手误删了重要数据。他放下电话，眉头微皱，迅速开始查找恢复方法。就在他焦头烂额时，看到桌上的卡通玩偶，心情莫名平静下来。他冷静分析，最终成功恢复数据。松了口气后，他又坐回浅灰办公椅，继续投入工作。
992060015,教授办公室.png,workspace/input/方知衡/工作\教授办公室.png,阳光办公空间,这是一间采光极佳的现代办公室，暖调阳光透过百叶窗洒入，在墙面与地面投下条纹光影。浅木色办公桌上摆放着iMac电脑、键盘、鼠标，两侧黑色笔筒插满彩色铅笔，旁侧白色咖啡杯增添生活气息。黑色人体工学椅正对书桌，背景处棕色皮质沙发、几盆绿植与窗外模糊的城市建筑相映，墙上装饰画与文件框丰富空间，整体氛围舒适且充满活力。,办公室 iMac电脑 键盘 鼠标 咖啡杯 人体工学椅 皮质沙发 绿植 装饰画 文件框,方知衡正坐在黑色人体工学椅上，对着iMac电脑处理课题数据。突然，一位女同事假摔进他怀里，他面无表情地提溜起对方，送到保健室。回来后，他坐在桌前，端起白色咖啡杯轻抿一口，阳光透过百叶窗洒在身上，他又专注于科研，仿佛刚刚的插曲从未发生。
992060016,新对话.png,workspace/input/方知衡/工作\新对话.png,温馨居家书桌,自然光洒在白色书桌上，中央银灰色笔记本电脑屏幕显示着山水风景壁纸；左侧白瓷杯盛着咖啡置于碟中，右侧放着黑银配色的头戴式耳机；后方金属书架与墙上木质置物架摆满书籍，角落有绿植点缀。浅蓝墙面、窗边光线营造出静谧舒适的居家办公或学习氛围，物品摆放有序，色调柔和温暖。,书桌 笔记本电脑 白瓷杯 咖啡 头戴式耳机 金属书架 书籍 绿植,方知衡正坐在温馨的居家书桌前，对着电脑钻研课题，手边的咖啡已经微凉。突然，电脑死机了，所有数据可能丢失。他皱起眉头，正要重启，发现是电脑过热。他迅速冷静下来，打开窗户散热，又戴上耳机查阅解决办法。一番操作后，电脑恢复正常，他长舒一口气，又投入到工作中。
992060017,根据图片创作高精度图片.png,workspace/input/方知衡/工作\根据图片创作高精度图片.png,科幻风工作桌面,画面呈现充满未来感的工作空间，浅色木质桌面上摆放多台电子设备。中央大屏显示器显示绚丽星云与数据界面，旁侧笔记本电脑屏幕也布满科技感图表。周围还有复古电子仪器、音箱、台灯等，暖紫与冷蓝光交织营造赛博氛围，背景架子堆叠老式设备，整体融合科技与复古元素，展现科幻感工作场景。,工作空间 电子设备 大屏显示器 笔记本电脑 复古电子仪器,方知衡正专注地在充满未来感的工作空间里分析数据，中央大屏上绚丽星云与数据交织。突然，电脑系统故障，所有数据面临丢失风险。他沉着冷静，迅速操作复古电子仪器试图修复。一旁同事慌乱不已，他却有条不紊，最终成功恢复数据，让工作得以继续。看着重新正常运行的设备，他又投入到科研中。
992060018,根据描述生成图片 (19).png,workspace/input/方知衡/工作\根据描述生成图片 (19).png,列车上办公,画面呈现列车车厢内场景，右侧是带有印字白色头枕布的深棕格纹座椅。左侧靠窗处，一只手在展开的浅木色桌板上操作银色笔记本电脑，屏幕显示含蓝橙色块的界面。窗外是夜晚的站台，建筑与灯光朦胧。车厢内顶灯柔和，整体氛围静谧，展现移动中办公的日常状态。,列车 座椅 头枕布 笔记本电脑 站台 建筑 灯光,列车缓缓行驶，方知衡坐在左侧靠窗位，在浅木色桌板上操作着银色笔记本电脑，专注于屏幕上含蓝橙色块的界面。这时，右侧座位上一个小孩吵闹着要玩他的电脑。方知衡耐心解释，小孩却不依不饶。小孩家长赶忙道歉制止。方知衡微笑表示理解，又继续投入工作，窗外夜晚站台的建筑与灯光朦胧闪烁。
992060019,根据描述生成图片 (20).png,workspace/input/方知衡/工作\根据描述生成图片 (20).png,月夜望远镜观星,画面中一台蓝银黑配色的天文望远镜架设于三脚架上，指向夜空。背景是深蓝色夜幕，一轮明亮满月悬挂，繁星闪烁，几缕薄云飘浮。地面呈现公园景致，暖光路灯点亮，树木轮廓朦胧，白色围栏与草地向远方延伸，整体氛围静谧，尽显月夜下观星时科技与自然交融的美感。,天文望远镜 三脚架 满月 路灯 树木 白色围栏 草地 小孩,方知衡在公园架起蓝银黑配色的天文望远镜观星。正当他专注观测时，一个小孩跑过来好奇地问这问那。方知衡耐心解答，小孩却不小心碰歪了望远镜。他没有生气，重新调整好，继续和小孩一起仰望星空，分享着宇宙的奥秘，静谧的夜因这小插曲多了份温馨。
992060020,讲台.png,workspace/input/方知衡/工作\讲台.png,空阶梯教室,画面呈现一间现代化阶梯教室，前景是带木质台面与灰色柜体的讲台，台上立着黑色麦克风。后方阶梯式排列着大量白色座椅，座椅下方搭配深红色柜体。墙面部分为木质装饰，两侧窗户引入自然光，天花板嵌长条灯，远处可见棕色木门与绿色安全出口标识，整体整洁明亮，氛围安静空旷，是典型的教学或会议空间。,阶梯教室 讲台 麦克风 座椅 木门,方知衡走进空荡的阶梯教室，准备为明天的讲座做预演。他刚站到讲台上，拿起黑色麦克风，突然灯光闪烁起来。他冷静查看，发现是电路问题。正打算离开找维修人员时，灯光又恢复正常。他继续调试，没想到麦克风却发出刺耳杂音。他无奈摇头，心想这预演真是状况不断，但还是决定先完成预演再处理。
992070002,四叶草.png,workspace/input/方知衡/植物\四叶草.png,室内四叶草瓶插,画面聚焦透明玻璃瓶中几支翠绿四叶草，茎秆浸于清水，叶片饱满鲜亮。瓶子置于浅木色餐桌，阳光透过窗户洒下，在桌面投下植物与瓶身的柔和阴影。背景可见木质餐椅、窗边绿植与墙上挂画，整体环境静谧温馨，暖光与清新绿意营造出舒适的居家氛围。,方知衡 四叶草 透明玻璃瓶 浅木色餐桌 木质餐椅 窗边绿植 墙上挂画,方知衡正坐在浅木色餐桌前看书，阳光洒在透明玻璃瓶的四叶草上，美极了。突然，一阵急促的敲门声打破了宁静。原来是邻居家小孩踢球不小心踢破了他家窗户。小孩满脸惊恐，方知衡没有生气，轻声安慰他别害怕，还帮忙联系家长。等一切处理好，他回到餐桌，看着依旧美好的四叶草，又沉浸在书里。
992070003,果树.png,workspace/input/方知衡/植物\果树.png,枝头金黄硕果,画面中，果树粗壮的枝干上布满鲜绿叶片，枝头挂满圆润饱满的果实。果实主体呈明亮金黄色，部分顶端晕染淡红色，在阳光下鲜亮诱人。背景是澄澈蓝天，几缕白云点缀，整体氛围洋溢着丰收活力与自然清新，光影交错间尽显田园生机。,果树 果实 松鼠 孩子 田园,方知衡漫步在田园间，被眼前挂满金黄硕果的果树吸引。正当他凑近欣赏时，一只调皮的松鼠突然从树上蹿下，撞落了一颗果实，差点砸到他。他愣了一下，随即无奈地笑了笑。这时，一个孩子跑过来，捡起果实，仰着头问：“叔叔，这果子能吃吗？”方知衡温和地说：“应该可以，不过要洗干净哦。”孩子笑着跑开了，方知衡继续沉醉在这丰收的美景中。
992070004,海棠.png,workspace/input/方知衡/植物\海棠.png,春日樱花盛放,画面聚焦樱花枝头，粉白色花瓣层层舒展，花蕊点缀金黄，部分花苞呈淡粉或艳红。深褐枝干交错，背景是朦胧淡蓝与浅紫渐变，柔光晕染如薄纱，营造出春日清晨或傍晚的梦幻氛围。花朵疏密有致，近景清晰、远景虚化，整体色调柔和清新，传递出樱花盛放时的浪漫与生机。,方知衡 小女孩 樱花 枝干 花苞,方知衡在春日漫步，邂逅一片盛放的樱花林。粉白花瓣层层舒展，金黄花蕊点缀其中。正当他沉醉美景时，一个小女孩不小心撞到他，差点摔倒。他赶紧扶住女孩，女孩有些害怕地看着他。方知衡温和安慰她，还摘下一朵樱花送给她。女孩破涕为笑，蹦蹦跳跳跑远，他望着樱花，嘴角也泛起笑意。
992070005,火兰花.png,workspace/input/方知衡/植物\火兰花.png,窗前橙红兰花,室内窗前拍摄的照片，一株兰花尽显生机。两朵橙红色花朵舒展花瓣，色彩从边缘深红向中部暖橙渐变，花瓣布满细腻纹理，花心黄底点缀红纹；花茎上还垂着饱满花苞。宽大翠绿的叶片边缘带细微锯齿，在柔和光线中泛着光泽。背景是半透白色纱帘，阳光滤过形成朦胧光影，场景温馨静谧，尽显兰花优雅之美。,方知衡 兰花 纱帘 阳光 电话,方知衡回到家中，发现窗前多了一株橙红兰花。他眉头微皱，这并非自己所买。这时朋友打来电话，笑着承认是送他的惊喜。方知衡虽不太习惯意外之举，但看着兰花在柔和光线中优雅绽放，内心也渐渐柔软，对着电话轻声说：“谢谢，我很喜欢。”
992070006,盆栽.png,workspace/input/方知衡/植物\盆栽.png,窗台盆栽与城景,室内窗台场景中，浅木色台面上摆放着陶土盆绿植，其枝干扭曲、绿叶繁茂；左侧堆叠多本装帧各异的书籍，右侧有古朴陶罐与叠放的书。窗外是朦胧的城市建筑群，暖光透过窗户洒入，给绿植、书籍和窗台镀上柔光，室内温馨静谧与窗外都市景致形成对比，整体氛围舒适惬意。,窗台 陶土盆绿植 书籍 古朴陶罐 城市建筑群,方知衡坐在窗台前，正专注地翻阅着堆叠的书籍。突然，一阵急促的电话铃声打破了静谧。原来是学生在科研上遇到难题，心急火燎地向他求助。方知衡耐心解答完，长舒一口气，重新回到书前。此时，暖光洒在陶土盆绿植上，窗外的城市建筑群朦胧又迷人，他沉浸在这温馨惬意中。
992070007,蓝盆花.png,workspace/input/方知衡/植物\蓝盆花.png,紫蓝卷边花特写,画面聚焦一朵特写花卉，花瓣呈浓郁紫蓝色，边缘环绕淡黄色波浪状卷边；花心是密集的紫色球状花蕊，点缀黄色小花药。绿色花茎布满细绒毛，质感清晰。背景为虚化的深绿植物，光线明亮柔和，凸显花朵色彩层次与细腻纹理，整体呈现清新雅致的自然美感。,方知衡 紫蓝卷边花 小狗 小狗主人 深绿植物,方知衡在散步时，看到一朵紫蓝卷边花，它的花瓣紫蓝，边缘淡黄卷边，花蕊紫黄相间，花茎布满细绒毛。他正想凑近欣赏，突然一只莽撞的小狗冲过来，差点踩坏花。方知衡赶紧护住，小狗主人赶来道歉。之后，方知衡又能安静地品味这花的清新雅致了。
992070008,郁金香.png,workspace/input/方知衡/植物\郁金香.png,粉黄郁金香盆栽,画面中几盆郁金香置于陶土花盆内，粉色花朵花瓣边缘泛着白色条纹，淡黄色花朵纯净柔和，鲜翠绿叶衬托其间。背景是斑驳的石墙，右侧还能看到模糊的粉色花卉。阳光洒落，光影柔和，整体氛围清新自然，尽显春日花卉的生机与柔美。,郁金香 陶土花盆 石墙 粉色花卉 孩子 家长,方知衡路过一处满是花卉的地方，被几盆粉黄郁金香吸引。他正驻足欣赏，一个孩子跑过来差点碰翻花盆。方知衡眼疾手快扶住，孩子满脸惊恐。他轻声安慰：“别怕，没摔坏。”这时孩子家长赶来，对方知衡连声道谢。之后，他又沉浸在郁金香的清新柔美中，阳光洒下，让这一幕格外美好。
992080001,1.png,workspace/input/方知衡/生活\1.png,摄影装备陈列,深色桌面上展示各类摄影及便携装备，中央是打开的多功能背包，内部整齐摆放黄、白、绿色电子配件；包外有复古胶片相机、黑色闪光灯、两副太阳镜（黑框与浅棕框）、多台移动电源或存储设备，右侧立着瓶装水。背景深色调衬托下，装备细节清晰，光线营造专业质感，呈现户外拍摄前的装备整理场景，物品色彩丰富且布局有序。,摄影装备 多功能背包 复古胶片相机 太阳镜 移动电源 瓶装水,方知衡正仔细整理着户外摄影装备，将黄、白、绿色电子配件整齐放进多功能背包。这时，朋友打来电话邀他参加学术讲座。他本想拒绝，朋友却称讲座有新的天文发现。他犹豫片刻，放下手中的相机。当他准备出门时，又想到摄影计划，最终还是决定留下继续整理装备，心想学术讲座之后还能了解。
992080002,2.png,workspace/input/方知衡/生活\2.png,超市货架陈列,画面呈现超市内的木质货架，上层摆放着多瓶酱料（有红棕色、橙色等不同色调）与黄色包装零食，货架间插着含白色小雏菊、橙色花朵的花束增添温馨感；下层金属篮内是零食与玻璃罐装食品。背景暖黄灯光照亮货架，远处货架延伸，商品摆放规整、标签清晰，整体暖棕色调营造出整洁舒适的购物氛围。,超市 木质货架 酱料 黄色包装零食 花束 玻璃罐装食品 金属篮,方知衡走进超市，在木质货架前挑选着炖汤用的酱料。这时，一个小女孩不小心碰倒了上层的黄色包装零食。他蹲下帮忙收拾，小女孩紧张得快哭了。方知衡轻声安慰：“没关系，小朋友。”收拾完后，他继续挑选，看到货架间的花束，心中莫名温暖。正要离开时，发现自己原本想买的酱料缺货了，有些无奈，但又觉得这小意外也为购物添了别样趣味。
992080003,3.png,workspace/input/方知衡/生活\3.png,褐牛形来通文物,博物馆展柜内展示着褐牛形来通文物。该文物以陶制成，呈棕褐色，塑造为牛的形态，牛角弯曲、眼部圆睁，躯体饰有纹理，背部设开口容器，尾部有环形把手。文物置于深色木质底座，底座放于浅灰色展示台，旁有标注“褐牛形来通”的说明牌。背景是模糊的展柜与其他文物，整体氛围庄重，凸显其历史质感与工艺细节。,博物馆 褐牛形来通文物 深色木质底座 浅灰色展示台 说明牌,方知衡在博物馆参观，被展柜里的褐牛形来通文物吸引。他正仔细端详时，一个年轻女孩凑过来，故意撞了他一下，娇嗔着想让他讲解。方知衡礼貌躲开，开始认真介绍文物，从材质到工艺，条理清晰。女孩本想借机亲近，却被他专注讲解弄得不好意思，默默离开。方知衡继续沉浸在文物的历史质感中。
