序号ID,图片名称,图片路径,图片标题,图片描述,关键词,故事内容
991020010,拼图.png,穆昭/做手工/拼图.png,复古工厂微缩模型,画面中央是一座精致的复古风格微缩工厂模型。主体为三层红砖建筑，搭配浅色石材装饰，屋顶灰瓦错落，顶部设有烟囱与管道；右侧附属圆柱形筒仓，印有“RAW STOCK”标识，建筑顶层三角墙标有“ROKR”。模型内部亮着暖光，各层可见复古机械、家具等细节。底座周围摆放迷你圣诞树、彩盒礼物，背景中蜡烛火光、圣诞花环与模糊绿植营造出温馨节日氛围，模型置于白色蕾丝桌布上，整体风格复古且充满童话感。,复古工厂微缩模型 红砖建筑 烟囱 管道 筒仓 迷你圣诞树 彩盒礼物 蜡烛 圣诞花环 绿植 白色蕾丝桌布,穆昭在集市闲逛时，被一个复古工厂微缩模型吸引。老板开价很高，穆昭觉得不值，便开始砍价。老板不肯让步，穆昭正打算离开，老板却突然叫住他，说看他有缘，便宜卖给他。穆昭心中暗喜，付了钱拿走模型。回到家，他把模型摆在铺着白色蕾丝桌布的桌上，暖光照亮内部，圣诞树和彩盒礼物更添节日氛围。他看着模型，觉得这趟集市没白来。
991030011,KTV.png,穆昭/娱乐/KTV.png,科技风KTV包厢,这是一间充满科技感的KTV包厢，整体以蓝紫色霓虹灯光营造氛围。包厢内环绕着黑色皮质沙发，中央摆放带有霓虹灯带的大理石茶几，桌上置有插着粉白玫瑰的花瓶、几杯饮品与茶杯。墙面嵌入大型显示屏、音响设备及点歌屏，天花板也有灯光装饰与屏幕。黑白拼花的地板反射光影，整个空间现代炫酷，兼具娱乐功能性与时尚视觉感。,KTV包厢 黑色皮质沙发 大理石茶几 粉白玫瑰 花瓶 饮品 茶杯 点歌屏,穆昭跟朋友来到这个科技风KTV包厢。刚坐下，朋友就开始抢着点歌，穆昭却被桌上插着粉白玫瑰的花瓶吸引。这时，点歌屏突然故障，大家都着急起来。穆昭凭借自己的技术知识，捣鼓了一番，很快就修好了。朋友们欢呼着继续嗨唱，穆昭却悄悄拿起一杯饮品，靠在黑色皮质沙发上，饶有兴致地看着大家，嘴角勾起一抹坏笑。
991030012,公园散步.png,穆昭/娱乐/公园散步.png,晨曦都市运动场,画面呈现城市中的开阔景观，前景是蜿蜒的浅灰色步道与黑色沥青道路，两侧是大片鲜绿色草坪，树木错落分布。中景矗立着现代风格的圆形穹顶体育场，建筑线条简洁流畅。背景是林立的高层建筑群，玻璃幕墙在粉紫与淡蓝渐变的天空下泛着微光，天空中丝状云彩被霞光晕染，光线柔和。整体氛围静谧且充满都市活力，自然绿意与现代建筑交织，展现独特的城市景观。,步道 草坪 体育场 高层建筑群 小孩 自行车,穆昭一大早就来到这运动场。他沿着蜿蜒步道跑步，享受着清新空气。突然，一个小孩骑自行车横冲过来，差点把他撞倒。穆昭一个闪身稳住身形，小孩吓得停了下来。穆昭笑着摸摸小孩头说：“下次注意点哦。”小孩点头跑开。之后，他走到体育场边，看着建筑线条，心里琢磨着设计。这时，阳光更亮了，洒在身上暖洋洋的，他决定再跑几圈，享受这充满活力的早晨。
991030013,卡丁车.png,穆昭/娱乐/卡丁车.png,赛道卡丁车队列,在户外卡丁车赛道拍摄的画面，多辆红黑配色的卡丁车整齐排列在赛道旁，车头黄色区域标有数字编号（如10、13等）。左侧设有遮阳棚，棚下堆放着轮胎、金属栏杆与红色座椅。赛道边缘是红白相间的护栏，远处可见弯道、绿树及带有广告牌的建筑物。阳光明媚，光线明亮，整个场景展现出卡丁车场地的专业与活力，弥漫着竞技运动的氛围。,卡丁车 遮阳棚 轮胎 金属栏杆 红色座椅 护栏 弯道 绿树 广告牌 建筑物,穆昭来到户外卡丁车场，看着那一辆辆红黑配色、车头标着编号的卡丁车，眼神发亮。他挑了辆编号13的车，准备大显身手。可比赛刚开始，旁边车手就故意撞他，导致他落后。穆昭没慌，凭借高超车技在弯道处反超。最终，他第一个冲过终点，帅气地下车。这时，阳光洒在他身上，他看着赛道旁遮阳棚下的轮胎等物品，嘴角上扬，这场比赛让他过足了瘾。
991030014,散步.png,穆昭/娱乐/散步.png,公园林荫步道,画面呈现阳光照耀下的城市公园景致，一条灰色步道纵贯中央，两侧是葱郁翠绿的草坪与高大树木，繁茂枝叶在步道投下斑驳光影。步道右侧伫立着复古风格的黑色路灯，远处朦胧可见城市建筑轮廓。整体光线柔和，绿意盎然，营造出静谧清新的自然氛围，展现出都市与自然和谐交融的景象。,林荫步道 草坪 树木 路灯 城市建筑 小孩 皮球 女生,穆昭漫步在阳光照耀的林荫步道上，斑驳光影洒在身上。走着走着，突然一个小孩横冲直撞跑来，差点把他撞倒。小孩愣在原地，满脸惊恐。穆昭笑着摸摸他的头说：“下次可不能乱跑啦。”小孩跑走后，他继续前行。这时，一只皮球滚到他脚边，紧接着一个女生匆忙跑来。她抬头看到穆昭，脸瞬间红了。穆昭挑挑眉，“这球是你的？”女生害羞地点点头，穆昭把球递给她，“拿好咯。”
991030015,水上乐园.png,穆昭/娱乐/水上乐园.png,水上乐园多彩滑梯,画面呈现活力十足的水上乐园场景。中心是多层木质支架支撑的多彩水滑梯，红、黄、绿、蓝四色滑梯形态各异，有封闭管道式与敞开滑道式，水流从滑梯末端涌入清澈碧蓝的泳池。背景是蓝天白云下的青翠山峦，周围环绕茂密绿树、棕榈树，场地边缘可见彩色遮阳伞与休闲设施，远处电塔和输电线路添了现代感，明媚阳光让整个场景洋溢夏日欢乐氛围。,水上乐园 多彩滑梯 泳池 棕榈树 遮阳伞,穆昭来到水上乐园，被多彩滑梯吸引。他选了红色封闭管道滑梯，刚滑下去就遭遇意外，滑道里水流突然变大，把他冲得晕头转向。好不容易到了泳池，他正准备吐槽，却发现旁边一个小朋友一脸崇拜地看着他。穆昭瞬间来了兴致，故意耍帅地甩了甩头发，还冲小朋友挑了挑眉。之后，他又拉着小朋友一起去挑战黄色敞开滑道，在欢乐的尖叫声中，夏日的水上之旅愈发精彩。
991030016,游乐园.png,穆昭/娱乐/游乐园.png,夕阳下的游乐园摩天轮,画面聚焦游乐园核心区域，巨大的摩天轮占据视觉中心，彩色座舱（红、黄、绿、蓝等）环绕白色轮架，粉蓝主支架支撑起庞大结构。下方是色彩明快的商铺，带条纹遮阳篷与发光招牌（如“Snacks”店）。背景中过山车轨道蜿蜒，天空被夕阳晕染成暖橙色，云朵轻盈飘浮，光线柔和洒落。整体场景色彩绚烂、氛围欢乐，在夕阳映照下尽显游乐园的梦幻与活力。,游乐园 摩天轮 商铺 过山车轨道 女孩,穆昭来到了游乐园，夕阳下的摩天轮格外耀眼。他本想独自享受这梦幻氛围，却在排队时遇到个小麻烦，前面的游客和工作人员起了争执。穆昭上前三言两语就化解了矛盾。之后他坐上摩天轮，随着座舱升高，看着下方色彩明快的商铺和蜿蜒的过山车轨道，暖橙色的光洒在身上。这时，邻座一个女孩冲他挥手微笑，他也坏笑着回应：“这难道是上天安排的邂逅？”
991030017,演唱会.png,穆昭/娱乐/演唱会.png,烟火下的演唱会,夜晚的大型户外演唱会现场，舞台被彩虹色灯光照亮，乐队成员各司其职演奏乐器。台下观众密集，纷纷举起荧光棒随节奏晃动。天空中绽放着五彩斑斓的烟花，红、绿、金等色彩交织，与舞台灯光呼应。两侧大屏幕同步呈现画面，增强现场氛围感。整个场景被热烈的音乐氛围与绚烂烟火包裹，传递出狂欢、激情的夜晚气息。,演唱会 舞台 乐队 荧光棒 烟花,穆昭来到户外演唱会现场，被热烈的氛围感染。他随着节奏挥舞着荧光棒，眼睛紧紧盯着舞台。忽然，旁边一个冒失鬼挤过来，差点把他撞倒。穆昭眉头一皱，正想发作，那冒失鬼却连声道歉，还把自己的荧光棒塞给了他。穆昭的气一下子消了，笑了笑接过。此时，天空中烟花绽放，舞台上乐队演奏正酣，他又沉浸在这狂欢的氛围中，跟着人群一起欢呼。
991030018,演奏会.png,穆昭/娱乐/演奏会.png,空荡的音乐厅,这是一张展现豪华音乐厅内部的照片。建筑呈多层圆形结构，穹顶饰有精致雕花，暖色调灯光洒下营造典雅氛围。中央圆形木质舞台上，错落摆放着大提琴、小提琴、钢琴等乐器，搭配乐手座椅与指挥台。环绕舞台的多层观众席中，深红色座椅整齐排列却空无一人。墙面浮雕、壁灯与弧形包厢设计尽显奢华，整体空间静谧庄重，仿佛在等待一场盛大的音乐演出。,音乐厅 大提琴 小提琴 钢琴 观众席 指挥台,穆昭鬼使神差地走进了这座空荡的音乐厅。暖色调灯光下，舞台上的大提琴、小提琴和钢琴像是在静静诉说着什么。他好奇地走上舞台，随意地拨弄了下琴弦，发出的声响在空旷的厅内回荡。这时，突然传来一阵轻微的脚步声。穆昭警觉起来，却发现是一位清洁人员。对方被他吓了一跳，两人相视一笑。清洁人员离开后，穆昭又沉浸在这静谧庄重的氛围中，享受着这份意外的宁静。
991030019,电影院.png,穆昭/娱乐/电影院.png,空荡的电影院,这是一间现代化电影院放映厅，厅内空无一人。红色座椅整齐排列，黑色扶手的杯架中放着纸杯。前方是巨大的白色幕布，天花板为黑色，装有红色灯带与投影设备；黑色墙面上设有音响，左侧可见红色消防门。地面深色地毯搭配红色线条，红黑配色与柔和灯光营造出科技感与观影沉浸氛围。,电影院 红色座椅 纸杯 白色幕布 消防门,穆昭来到这个空荡的电影院，本想享受一场独自观影的静谧。可刚坐下，就听见一阵奇怪的声响。他顺着声音找去，发现是消防门那里似乎有动静。他小心翼翼靠近，结果门突然打开，一个孩子跑了出来，原来是孩子偷偷溜进来玩迷了路。穆昭带着孩子找到工作人员，之后回到座位，电影已经开始。他靠着椅背，嘴角上扬，觉得这意外小插曲也挺有趣。
991030020,音乐节.png,穆昭/娱乐/音乐节.png,户外音乐节狂欢,画面呈现阳光灿烂的户外音乐节现场，舞台顶部有彩色装饰与“JUSSI”标识，舞台被紫、蓝、橙等灯光点亮。空中五彩纸屑、彩带纷飞，前景中大量观众热情高涨，多人举手机拍摄记录，不少人挥舞手臂。背景是飘着白云的蓝天，舞台两侧立着音响与灯光架，整个场景洋溢着热烈欢快、充满活力的节日氛围。,音乐节 舞台 五彩纸屑 彩带 观众 手机 小女孩 音响 灯光架,穆昭来到户外音乐节现场，被那热烈欢快的氛围感染。舞台上灯光绚烂，五彩纸屑和彩带在空中飞舞，观众们热情高涨。他正沉浸其中，突然发现手机不见了。他眉头一皱，迅速在人群中寻找。这时，一个小女孩跑过来，手里拿着他的手机，说在地上捡到的。穆昭松了口气，笑着摸摸小女孩的头。之后，他又融入狂欢，跟着音乐尽情挥舞手臂，享受这场音乐节的活力。
991040001,咖啡店学习.png,穆昭/学习/咖啡店学习.png,阳光咖啡馆工作角,画面呈现温馨的室内空间，似咖啡馆或自习室。中央木质方桌上，银灰色笔记本电脑黑屏摆放，旁侧透明杯装冰饮插着吸管，还有翻开的笔记本、装满彩笔的白杯、黑色笔袋与鼠标。周围环绕浅棕色木质座椅和棕色皮质卡座，墙面置物架错落有致，摆满绿植、陶瓷摆件与装饰画；左侧大窗透入暖光，光影在桌面与地面铺展，营造出舒适惬意、适合工作学习的治愈氛围。,笔记本电脑 冰饮 笔记本 彩笔 鼠标 座椅 卡座 绿植 陶瓷摆件 装饰画,穆昭来到这个温馨的室内空间，打算处理点事情。他刚打开笔记本电脑，正要开始工作，突然电脑黑屏死机了。他皱起眉头，尝试重启也没用。这时，他注意到旁边的冰饮，想着冷静下再解决。就在他思索办法时，不经意碰翻了装彩笔的白杯，彩笔滚得到处都是。他无奈地先收拾彩笔，却意外发现电脑恢复正常了。他挑了挑眉，嘴角上扬，又专心投入工作。
991040002,图书馆.png,穆昭/学习/图书馆.png,阳光洒落的古典图书馆,画面呈现一座典雅的古典图书馆。高挑的天花板饰有精致浮雕，两盏复古铜制吊灯垂挂，暖光柔和。右侧三扇拱形大窗引入明亮日光，光线在红色花纹地毯与木质地板上勾勒出窗棂阴影。沿墙的深色木质书架摆满书籍，窗边矮柜与之呼应。前方整齐排列着木质长桌与配绿绒坐垫的椅子，桌上台灯散发暖光。左侧可见二层木质围栏，空间在自然光与灯光交织下，营造出静谧庄重的阅读氛围，尽显复古雅致格调。,图书馆 古典书架 木质长桌 复古铜制吊灯 蝴蝶,穆昭本是来图书馆找资料，却被这复古雅致的氛围吸引。他在书架间徘徊，突然听到一阵轻微的争吵声。循声而去，发现是两个学生为一本书起了争执。穆昭走上前，凭借自己的机智和口才化解了矛盾。之后，他在窗边的长桌坐下，暖光洒在书上，正当他沉浸阅读时，一只蝴蝶飞进来，停在书页上，给他这趟图书馆之行添了份意外之喜。
991040003,图书馆2.png,穆昭/学习/图书馆2.png,典雅木质图书馆,画面展现一间复古风格的图书馆空间，深棕色木质装潢贯穿全屋，天花板饰有精致浮雕线条，中央悬挂水晶吊灯洒下柔和光线。两侧高大书架整齐排列着琳琅满目的书籍，中央墨绿色墙面上挂着一幅风景油画，下方木质柜体嵌入黑色电视。拱形大窗引入暖煦阳光，照亮人字拼花木地板与浅米色布艺座椅、原木色桌椅，部分桌上摊开书籍；角落绿植点缀增添生机，整体氛围静谧典雅，古典与现代元素交融。,图书馆 书架 书籍 油画 电视 桌椅 绿植,穆昭走进这间典雅的图书馆，本想寻本技术类书籍。他在书架间穿梭，突然，一本书从高处掉落，眼看就要砸到一位正在看书的人。穆昭眼疾手快，一把接住。那人抬头，是个漂亮的姑娘。姑娘感激地冲他一笑，穆昭瞬间有点害羞，表面却装得云淡风轻，调侃道：“这书是想给我们制造邂逅吗？”随后两人攀谈起来，穆昭发现和姑娘很聊得来，原本找书的计划也抛到了脑后。
991050001,仓鼠.png,穆昭/宠物/仓鼠.png,野餐垫上的仓鼠,画面中一只棕白相间的仓鼠站在红白格子野餐垫上，双手捧着小块食物进食，圆滚滚的身体、黑亮的眼睛与粉鼻粉爪尽显可爱。背景是绿意盎然的草地，点缀着黄色小花与鲜红草莓，阳光洒下形成柔和光晕，整体氛围清新明媚，仿佛是一场温馨的户外小食时光。,野餐垫 仓鼠 食物 草地 小鸟 草莓 小花,穆昭在草地上铺好野餐垫，正准备享受美食，一只棕白相间的仓鼠突然跑了过来。它圆滚滚的身体，黑亮的眼睛，粉鼻粉爪，可爱极了。穆昭笑着拿出一小块食物喂给它，仓鼠双手捧着食物吃得津津有味。这时，一只小鸟飞过来想抢食物，仓鼠不甘示弱地吱吱叫着，和小鸟对峙起来。穆昭没想到这小不点还挺护食，觉得有趣极了，便帮着仓鼠赶跑了小鸟，继续看它享受美食。
