类型,内容,关键词,重要程度
[方鸿],方鸿，方知衡父亲，学界权威，昔日偶像却在妻逝与家变后成"背叛者"。威严而独断，尝试修补父子裂痕却难觅契机；每逢祭日错峰前往，避免与儿子相遇。对外冷峻，对内仍存愧疚与关爱。,方鸿|父亲|威严|权威|愧疚|裂痕,5
[孙明菲],孙明菲，方知衡大学学姐与前同事，学术严谨、性格爽朗。曾在读研读博阶段关照方知衡并被他牵线与元逸相恋。四年前极地科考遇暴风雪失踪，生死未卜。,孙明菲|学姐|同行|失踪|极地科考|牵线,5
[元逸],元逸，方知衡青梅竹马式兄弟，幼时因误会互看不顺眼，后在共同绑架事件中互救结为过命之交。元逸是方知衡从小一起长大的兄弟，也是家族世交的同辈友人。他们的友谊始于一次共同的危险经历，那是十四岁时被卷入的恶性绑架案，两个半大少年在废弃仓库的铁皮屋顶上，听着雨点噼啪作响，元逸用一根生锈的铁丝撬开手铐时，方知衡注意到他手腕上被磨出的血痕。逃脱后在派出所录口供时，元逸坚持说是两人合作才得以脱险，尽管实际上是方知衡的冷静分析起了决定作用。元逸热血仗义，现与孙明菲成伴侣。忙碌奔波常将孩子托付方知衡照顾，感激与信任贯穿友谊。,元逸|兄弟|绑架事件|热血|伴侣|信任,5
[元南],元南，元逸之子，方知衡的临时监护对象。活泼好奇，把方知衡视作亦父亦友亦师，常分享奇思妙想而得到耐心倾听。两个人相处，虽然名义上是家长带小孩，但更多的时候，更接近平等的友人，而方知衡长辈的架子和严师的个性，也犹且仅会在元南犯下大错时，才会偶尔端出。至于元南本人，比起麻烦忙碌的父亲元逸，很多时候也会更愿意与方知衡分享一些生活上的琐事，因为不论发表什么奇思妙想，都不会得到对方的嘲笑，就算是偶尔的任性要求，只要没有特别过分，经常也能获得对方慷慨的满足。,元南|孩子|监护|平等|活泼|教育,5
[罗恒],罗恒，香丘半山腰便利店老板，寡言真诚。与方知衡多为点头之交，却在经济困境卖店时得到对方无息借款；反过来牢记方知衡行程，确保他每次途经都能喝到现煮咖啡。润物细无声的互助使两人情谊细水长流。,罗恒|便利店|真诚|借款|咖啡|友情,5
[林安予],林安予，云枢大学学生，新一届天文系-天文班的女班长，目前研究生在读，方知衡的学生兼助教，将方知衡视为尊敬的师长，是方知衡的学生里，唯一看穿了方知衡外冷内热的性情，相较于其他学生面对方知衡时的敬小慎微，偶尔也会委婉地调侃一下方知衡。,林安予|学生|助教|聪慧|调侃|天文系,5
[乌鸡],乌鸡，年龄不详，是关爷爷养在旧时光书店的八哥，羽色油黑亮泽，喙尖灵动。它机敏好斗又极聪明，能模仿十余句人话，最爱学顾客口音高喊买书啦；平日与橘猫鲅鱼互怼打闹，危急时刻却并肩守店。曾在夜贼潜入时高叫抓贼，引来邻里救场，被街坊誉为报警鸟。方知衡来书店时，总被它用清冷嗓音学他说话逗得失笑。,乌鸡|八哥|机敏|模仿|报警鸟,5
[鲅鱼],鲅鱼，橘猫，后腿略跛却动作敏捷。曾为护同伴乌鸡，独闯大学城流浪狗群留下独猫斗五狗的传奇。毛色浓橘带白，圆眼警觉，对陌生人保持距离，对读书人尤亲近，常卧在方知衡脚边打呼。夜半巡店是它的职责，闻异响立刻炸毛警戒，被关爷爷称作最可靠的书店护卫。,鲅鱼|橘猫|忠诚|勇敢|书店护卫,5
[咖啡师小陈],陈艺文，24 岁，SCA 认证咖啡师，外表斯文戴圆框眼镜，性格内向却对完美执拗。可在八盎司拿铁上拉出三十余片叶脉，被同行称拉花魔术师。负责可心咖啡厅的配方研发，每周推出星辰系列单品豆致敬香丘夜空。梦想开个人工作室，将咖啡与星空故事结合；常向方知衡交流获取观星札记。,咖啡师小陈|陈艺文|咖啡师|拉花|文艺,5
[小明],明子，25 岁，音乐学院毕业的街头艺人，常背木吉他驻唱于时代广场一隅。笑容爽朗，擅即兴说唱调动氛围，被市民称移动点唱机；他将民谣与电子 loop 融合，自制脚踏鼓伴奏。收入不稳却坚持每日演出传递快乐，雨夜为迷路孩童弹唱安抚的故事广为流传。,小明|明子|街头艺人|音乐|时代广场,5
[气球爷爷],李福寿，68 岁，退休木匠，自学气球造型后一发不可收拾，一年掌握二百多种花式，被孩子们亲切称为气球爷爷。常穿蓝背带裤推小车游走老街，十指翻飞便能捏出航海战舰或宇宙飞船。对贫寒儿童从不收费，认为童真无价。,气球爷爷|李福寿|气球|手艺|孩子,5
[渔民老汪],汪大海，55 岁，白虹湾资深渔民，肤色古铜，自诩海上三十年从未迷航。他拥有二十吨木帆渔船海鸥号，精于夜钓乌贼与甩网捕鲅鱼；台风季主动召集同行分享经验保安全。性格豪爽，常把新鲜海货送游客；夜里点篝火讲远洋惊险轶事。,渔民老汪|汪大海|渔民|白虹湾|豪爽,5
[小刘],小刘，30 岁，本名刘海潮，是老汪的徒弟兼船员，阳光乐观爱笑。十年出海经验使他对风向与潮汐有敏锐直觉，可凭云形判断数小时内风级。业余爱摄影，用旧单反记录海鸟与日出，在社交平台推广白虹湾。梦想考远洋船长证，遇游客主动指路被孩子们叫海边哥哥。,小刘|刘海潮|渔民|白虹湾|乐观,5
[老陈],陈守望，65 岁，白虹湾灯塔唯一看守员，灰发剃短背微驼却脚步稳健。三十年来夜九点准时点灯，凌晨三点巡检光源；精通摩尔斯电码，偶尔与远洋货轮互致问候。话少心细，冬夜见旅人迷路会递上热茶。曾救起落水少年获市府表彰。,老陈|陈守望|灯塔|看守|白虹湾,5
[林医生],林慧敏，35 岁，市立医院内科主治医师，留德归来擅用循证医学结合中西医。面容温和，诊室常备电子琴为紧张儿童弹琴缓解焦虑。科研方向慢性心衰药物管理，发表 SCI 十余篇，被患者誉为云枢之心。与方知衡同为晨跑伙伴，常交流睡眠与营养研究心得。,林医生|林慧敏|医生|内科|温和,5
[小张],张敏，26 岁，市立医院护士长，短发利落脚步生风。静脉穿刺成功率近乎百分百，病区急救事务调度如指挥官。下班后活泼开朗，组织同事跳 Zumba 解压并带团队赴流浪动物站义诊，被患者称白衣双侠之一。梦想攻读护理管理硕士推动人性化病房改革。,小张|张敏|护士长|敬业|活泼,5
[老李],老李（李文博），45岁，文艺儒雅、见多识广。市立博物馆资深策展人、考古学博士，曾远赴埃及、希腊等地参加考古发掘，擅长把尘封文物讲成扣人心弦的探险故事；每次策展都会设计沉浸式灯光与音效，令参观者仿佛穿越时空。闲暇时爱吹长笛并手冲单品咖啡，对"文物与音乐的共振"做跨学科研究。,老李|李文博|45|博物馆|策展人|考古|文艺,5
[小美],小美（美琳），28岁，活泼开朗且知识渊博。市立博物馆首席讲解员，正在攻读博物馆教育学硕士，熟练使用AR眼镜与手势交互，把古生物化石演示成3D复原动画；她富有感染力的语调常让孩子听得目不转睛。业余运营历史科普播客《时间邮差》粉丝十万，并收集全球门票与明信片作为创作素材。,小美|美琳|28|讲解员|AR|科普|活泼,5
[保安大叔],张大强，50岁，退伍军人出身的博物馆保安队长。外表严肃却极具保护欲，每晚巡馆都会用军用手电逐一检查温湿度计，确保国宝级藏品安全。擅长徒手擒拿与应急救护，定期为员工及青少年开设防灾演练课，使安全教育成为展馆特色。私下饲养一只在仓库收养的橘猫"铜钱"，并收藏五百多枚各时期军徽，自制陈列柜与同事共享。,保安大叔|张大强|50|保安队长|退伍军人|安全|收藏,5
[老王],老王（王建国），48岁，市立医院放射科技师，人称"会说话的X线"。从事医学影像20年，精通CT、MRI及介入摄影，近年来研究AI影像辅助诊断，多次在省级学术会上获优秀论文奖。沟通温暖细致，拍片前总先教患者做深呼吸缓解焦虑。业余练书法与篆刻，用废弃胶片剪成练习纸；节日还会为儿童病房打印卡通骨骼照片作纪念。,老王|王建国|48|放射科技师|AI影像|书法|温暖,5
[晨跑大哥],王健，42岁，晨跑界传奇。五年如一日清晨5:30出门，无论雨雪累计里程两万公里，把啤酒肚练成八块腹肌，被跑友赞为"活人体能教练"。他创建公益跑团"赤道环者"，为市民免费制定心肺训练计划，并与医院合作做VO2max监测。还拍摄Vlog科普运动营养，激励无数久坐上班族走出屏幕，拥抱清晨第一缕阳光，多次代表城市在马拉松赛道破三。,晨跑大哥|王健|跑步|公益|自律|健康,5
[散步阿姨],李美华，58岁，端庄微胖，喜欢戴草帽拿蒲扇。退休前是社区图书管理员，谈吐温和，擅用方言讲老城逸事。每日饭后绕公园步道三圈并与路人闲聊，她记得常客的家乡和口味，会携自制桂花糕与人分享。闲暇研习插花与手工香囊，被邻里誉为"行走的舒心小站"。,散步阿姨|李美华|温和|爱聊天|退休,5
[遛狗大叔],张志强，50岁，高大沉默，常穿旧军绿色夹克牵金毛"大黄"。退役车工，因救下流浪犬而培育出对动物的深沉情感，每日三次定点遛狗并自备环保垃圾袋。精通训犬口令，教会"大黄"拾垃圾投桶。周末义务协助宠物诊所洗护大型犬。,遛狗大叔|张志强|爱狗|沉默|退休工人,5
[健身婆婆],刘秀芬，65岁，少时患哮喘，退休后投身健身逆袭成银发硬核运动员。清晨挥舞太极扇，午后练广场力量操，能做标准俯卧撑 30 个。她学习营养搭配改良家常菜谱，分享给同龄人微信食谱。曾代表社区参加老年健身大赛夺冠，媒体称为"最燃奶奶"，鼓励长者突破年龄局限。,健身婆婆|刘秀芬|积极乐观|健身达人|退休,5
[学生小刘],刘小明，19岁，云枢大学体育系大一生，身高 185 厘米，短寸清爽。高中为省队短跑主力，百米最好成绩 10.78 秒。进大学后迷上跨栏与运动生理学，梦想成为体能教练。为备战校运会，他自拟周期化训练计划并记录乳酸阈值变化，热衷将运动科学科普给同学。性格腼腆，对前辈谦逊有礼。,学生小刘|刘小明|青春|体育生|害羞,5
[推婴儿车的妈妈],陈雅文，32岁，育婴期全职妈妈，气质温柔，喜欢穿米色针织衫。她每日推婴儿车在林荫道慢走 5 公里，利用步行塑形并让孩子接触自然。她阅读大量育儿心理书籍，记录宝宝吃奶、睡眠数据并写成长日志，在社交平台运营"新手妈妈实验室"分享科学育儿经验，粉丝突破两万。,推婴儿车的妈妈|陈雅文|温柔|新手妈妈|育儿,5
[云枢市],华东沿海的省会滨海城市，常住人口约280万人，四季分明的亚热带季风气候与800年古城底蕴交相辉映；以天文科研、文化创意与慢生活理念著称，市民包容开放，城市愿景是建设国际知名科教名城与宜居宜业现代都市；行政区划包括中央区、大学城区、居民区、海滨区、香丘山区、工业园区和港口区；经济支柱为科技研发、精密制造、旅游服务和现代服务业，同时发展天文科普、文化创意和海洋经济；文化特色体现在学者之城、教育科研、摄影文化和慢生活方式。,城市|滨海|省会|天文科研|文化创意|慢生活|宜居|科教名城,5
[家中],方知衡位于香丘区顶层复式的私人住所，简洁有序，配备观星阳台与暗房式摄影间，是他休憩、备课与沉思的静谧港湾；室内设计以现代简约风格为主，色调偏冷灰白，家具注重功能性与耐用性，书房内藏有大量天文学与摄影相关书籍，阳台配备专业天文望远镜，夜晚常用于观测星空；家中也是他与少数亲密友人如元南交流的私密空间，轻易不接受陌生人进入。,住所|私人空间|观星阳台|摄影间|简约风格|天文望远镜|静谧港湾,5
[学校附近住所],方知衡在云枢大学主校区附近的另一处房产，位于大学城内一处安静的住宅区，方便日常教学与科研工作；这是一栋两层小楼，带有小型庭院，庭院内种植了低维护的绿植，适合短暂休憩；室内布局紧凑而实用，以木质家具和暖色调为主，营造温馨氛围，书房内配备了与香丘住所类似的专业书籍和设备，但更注重便携性和临时办公需求；此住所也常用于接待学生或同事讨论学术问题，是工作与生活平衡的延伸空间。,学校附近|住所|大学城|教学|科研|温馨|庭院,5
[明镜公园],位于居民区附近的一座优美公园，园内湖光山色，绿树成荫。拥有全长2.5公里的环湖跑道，路面平整，沿途设有休息亭和饮水台。清晨时分空气清新，是晨跑锻炼的理想场所；湖面常有野鸭和白鹭栖息，岸边柳树随风摇曳，景色宜人；公园内还设有小型露天剧场，不定期举办社区活动和公益演出；此外，园内有专门的儿童游乐区和健身器材区，适合各年龄段居民休闲娱乐，是城市中一处难得的自然与人文结合的静谧之地。,公园|湖景|晨跑|自然|社区活动|儿童游乐|健身,5
[云间杂物铺],坐落在居民区的一条老街上，比之'杂货铺'的定位，'百宝物'亦或者'旧物中转站'的称呼更符合实际经营状况。常年贩卖各种杂货与稀奇古怪的小物件，上到十几年前流行的黑胶唱片，下到泥垢堆满的紫砂茶壶，针头线脑，琳琅百货，无所不包，也无一不背负有沉重的岁月痕迹；兼营驿站业务，可邮寄与揽收包裹，是居民的临时寄存点。,,5
[Fresh超市],新开张不久的生鲜超市，现代摩登的装修风格，混迹在居民区的一众老旧建筑里，每每叫人眼前一亮。因为优惠力度巨大，才一开业就吸引了大批量的新客；除了每周固定的'佛系星期六'活动，逢年过节还有各种折扣券发放。,超市|生鲜|现代|优惠|活动|折扣,5
[欣欣花店],坐落在居民区的老街路口，鲜妍的花卉每天将木构的小屋装点得五颜六色，面向街道的一整面落地窗，一眼望去，生机盎然，花朵的芬芳能飘出几条街以外，即使是瞧上一眼，闻上一鼻子，也能给路过的行人带去一整天的好心情；店内提供各类花卉定制服务，适合求爱、庆典或疗愈心情；店主金喜温柔体贴，常与顾客分享花语故事，花店也成为社区内温暖人心的交流角落。,花店|鲜花|芬芳|定制|温柔|社区|疗愈,5
[市立医院],一所集医疗、教学、科研为一体的综合性医院，占地面积广阔，医护资源雄厚，诊疗设备齐全，上到头疼脑热，下到各种冷门绝症，各项门类均有囊括，致力于呵护市内每一位居民的从生理到精神等方方面面的健康；医院配备国际领先的影像科与慢病管理实验室，医护人员以温暖严谨著称，定期举办义诊与防灾演练，守护市民健康；院内还设有安静的康复花园，为患者提供舒缓身心的环境。,医院|医疗|综合性|科研|义诊|康复花园|健康,5
[旧时光书店],矗立在市中心的老旧书店，毗邻大学城，外表是一座红墙黛瓦的两层半小洋楼，由一栋独栋的自建楼房改建而来，复古的装修风格，同周围高耸的摩天大楼略显格格不入，却也因为别具一格的外观，意外成为了网红打卡地；店内纸墨与咖啡香交织，贩卖各类书籍、影像图册，还提供报纸订阅服务如《都市异闻》；店主关爷爷爱恶作剧，养八哥"乌鸡"和橘猫"鲅鱼"，鸡飞猫跳的日常常登上社交媒体，是知识秘境亦是拍照圣地。,书店|复古|网红|书籍|咖啡|宠物|都市异闻,5
[好味道茶餐厅],东南亚度假山庄式的装修风格，颇具异域的情调，推门而入的瞬间，不仅有各种食物的馨香扑鼻，入目所及的风光也仿佛从地球的赤道以北，穿越到了赤道以南的热带天地；除了最畅销的几道招牌菜，时常还有各种新菜色上新，上新时间不定，随老板心情而定；老板赛百味凭情绪研发菜色，能因客人浪费怒喷两小时亦能因电影灵感推出限定菜单，美食与故事同样丰盛。,茶餐厅|东南亚|美食|创新|异域|情绪化|故事,5
[可心咖啡厅],坐落在时代广场周围的商圈地带，不仅装潢时尚，契合年轻人的品味，内里还有多个贴心的功能区，从读书角、撸猫房再到母婴室一应俱全；老板唐可可随缘营业，店内提供纪念咖啡杯和各类咖啡豆，适合休闲与社交；常有甜蜜互动的唐可可与李弯弯引来顾客惊奇目光，是年轻人喜爱的潮流聚集地。,咖啡厅|时尚|潮流|休闲|社交|随缘营业|贴心,5
[市立博物馆],市政府下辖的科教机构之一，归属于云枢市科学院分管，常年免费对外开放；内部划分为多个主题展馆，囊括了从自然地理到历史人文再到未来新锐等多个方面内容，既同附近的大学城合作紧密，常是学生们研习的教学场所，同时也是普通市民们周六日组织亲子游，寓教于乐的首选地；提供科普书籍及当月主题展纪念品。,博物馆|科教|免费|展馆|亲子|教学|科普,5
[时代广场],位于市中心的开放式广场，也是整座云枢市的交通枢纽，占地面积足有两个足球场大小，即使是容纳百万人的集会，也不在话下；八条宽阔的柏油大道四通八达，以敞开的怀抱欢迎全市人民车来人往；四周汇聚有各种休闲娱乐设施，如市博物院、歌剧院与世纪公园，是市民活动与邂逅的热门地点。,广场|交通枢纽|开放式|休闲|娱乐|集会|邂逅,5
[白虹湾与海滩],知名的风景胜地，位于城市最东南边的沿海地带，以澄碧如镜的海水和绵软细腻的白沙而闻名，是每逢节假日之际，云枢市最热门的休闲旅游打卡胜地；在岸边的岩礁群最外侧矗立着蓝白相间的灯塔，为往来船只指引方向；提供各种螺贝和渔获作为赠礼，常有游客与渔民互动的温馨场景。,海滩|风景|旅游|白沙|灯塔|渔获|休闲,5
[灯塔],在攒聚的岩礁群最边沿处，矗立有一座蓝白相间的灯塔，不分昼夜地指引着远游的船只顺利归航；这座灯塔建于数十年前，高约30米，采用经典的条纹涂装，顶部装有强力旋转灯，每晚定时点亮，为白虹湾海域的渔船和货轮提供安全指引；灯塔看守员老陈坚守岗位三十年，熟悉摩尔斯电码，常与远洋船只互致问候，是海滨地区的重要地标和精神象征。,灯塔|海滨|指引|地标|安全|渔船|老陈,5
[国家森林公园],国家森林公园，位于云枢市东南部，占地面积约1000平方公里，是云枢市最大的自然保护区，也是云枢市的重要生态旅游景点；公园内山峦起伏，森林茂密，拥有丰富的动植物资源，包括珍稀鸟类和古老树种；设有多个徒步和露营区域，配备完善的游客中心和导览服务，每年吸引大量自然爱好者和摄影师前来探索；公园还定期举办生态教育活动，推广环保理念，是市民周末放松身心的理想去处。,森林公园|自然保护|生态旅游|徒步|露营|环保|动植物,5
[云枢大学],云枢大学，国家 211 工程重点大学，以理工科见长的综合性高校。1952 年建校，前身为"华北工学院"，1985 年更名云枢大学，2003 年升格现名。校园占地 2800 亩，设主校区（市中心大学城）与香丘分校区（天文观测基地），在校生：本科18000、硕士8500、博士1200。标志性建筑85米高"望星塔"，1.5公里樱花大道与 200 亩明镜湖相映成趣。重点学院：天文与空间科学、物理与光电工程、计算机、材料、生命科学等 12 院。科研特色：拥有"宇宙物质演化"国家重点实验室，每年举办"云枢天体物理学国际会议"，设有"方鸿奖学金"。校园文化：登山社、摄影协会、天文观测社与流浪动物保护协会；传统活动：秋分"仰望星空日"、春节"猜灯谜大会"、毕业生望星塔时光胶囊。培养多位院士级天文学家，学术声誉全国领先。,学术|科研|校园|天文|樱花大道|望星塔|国际会议|211工程,5
[望星塔],85米高的图书馆主楼，可俯瞰整个城市，毕业生传统：在望星塔顶留下时光胶囊；这座塔楼是云枢大学的标志性建筑，高85米，采用现代简约设计，顶部装有大型旋转灯，每晚定时点亮，为城市夜空增添一抹亮色；塔内设有多个观景平台，可俯瞰整个云枢市，是毕业生们留下校园记忆的圣地；塔楼内部设有多个展览空间，展示云枢大学的学术成果和校园文化，是学校重要的文化交流中心。,望星塔|标志性建筑|图书馆|俯瞰|时光胶囊|展览空间|文化交流,5
[樱花大道],春季校内最美景观，长约1.5公里的樱花林荫道；这条樱花大道是云枢大学的标志性景观，全长约1.5公里，两侧种植着数百株樱花树，每年春季盛开，形成一片粉色的海洋；大道两旁设有多个休息座椅，是学生和游客休闲的好去处；樱花大道也是学校的重要文化活动场所，每年春季都会举办樱花节，吸引大量游客前来观赏。,樱花大道|春季|最美景观|樱花节|休闲|文化活动,5
[明镜湖],校内人工湖，面积约200亩，是学生休闲和社团活动的热门场所；这座人工湖位于云枢大学校园内，面积约200亩，是学生休闲和社团活动的热门场所；湖水清澈，环境优美，是学生和游客休闲的好去处；湖边设有多个休闲座椅，是学生和游客休闲的好去处；湖边设有多个休闲座椅，是学生和游客休闲的好去处。,人工湖|休闲|社团活动|湖边|休闲座椅,5
[香丘天文院],市政府下辖的科教机构，以观测星空、研究宇宙物质为目的而设立，地处城市市郊的西南方向，坐落于群山环绕的正中——一座名为"香丘"的山上；那里也是整座云枢市的制高点，配备先进的观测设备，常年吸引天文爱好者与科研人员；提供天文学相关的纪念品，是方知衡的研究与教学基地。,天文院|科研|观测|星空|制高点|纪念品|方知衡,5
[香丘山区],群山环绕，城市制高点，香丘半山腰有便利店；这片山区位于云枢市西南部，以香丘山为核心，海拔最高点约800米，气候凉爽，空气清新，是夏季避暑的热门地点；山间小径蜿蜒，适合登山和观景，沿途可见瀑布和小溪，景色秀丽；香丘天文院坐落于山顶，夜晚星空璀璨，是天文观测的绝佳位置；半山腰的便利店为登山者和游客提供补给，老板罗恒与方知衡有深厚情谊，常备现煮咖啡。,山区|制高点|避暑|登山|天文观测|便利店|星空,5

